GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,150782137,2605551.508
0.02,0,3479636,59806.442
0.05,0,733354,11762.034
0.01,0,8707970,152366.944
0.06,0,538749,8635.357
0.03,0,1822602,30924.324
0.07,0,383819,6168.864
0.08,0,280189,4524.092
0.04,0,1113772,17814.507
0.1,0,148592,2307.205
0.12,0,80114,1250.203
0.13,0,60566,905.091
0.09,0,194419,3106.023
0.15,0,43545,624.695
0.11,0,121579,1943.793
0.17,0,41673,713.702
0.16,0,36678,496.525
0.14,0,47598,696.218
0.2,0,22478,307.525
0.21,0,17313,244.669
0.19,0,23393,323.612
0.18,0,26281,374.196
0.23,0,10106,125.086
0.22,0,17554,229.051
0.24,0,8275,109.527
0.46,0,40,0.001
0.25,0,8433,104.503
0.14,0.01,1666,71.6
0.26,0,7868,102.392
0.28,0,7148,88.481
0.27,0,7392,85.185
0.29,0,7379,83.758
0.27,0.01,325,9.211
0.22,0.01,604,14.451
0.29,0.01,319,10.014
0.25,0.01,344,10.739
0.23,0.01,679,21.219
0.24,0.01,337,9.004
0.2,0.01,1124,32.144
0.21,0.01,716,22.839
0.26,0.01,243,6.731
0.17,0.01,1012,29.731
0.16,0.01,1242,36.92
0.18,0.01,1145,33.154
0.41,0,3820,57.94
0.4,0,3755,55.991
0.45,0,646,10.766
0.3,0,7927,95.052
0.33,0,4675,61.668
0.43,0,8068,151.745
0.32,0,4631,54.502
0.37,0,6772,126.354
0.31,0,30731,551.06
0.34,0,5294,69.657
0.35,0,5615,81.512
0.38,0,3769,47.24
0.36,0,6753,127.418
0.44,0,2314,66.902
0.39,0,3626,47.834
0.42,0,4979,94.952
0.44,0.01,85,4.908
0.43,0.01,48,10.477
0.45,0.01,127,9.554
0.1,0.01,2993,155.699
0.12,0.01,1538,73.468
0.03,0.01,4238,573.143
0.04,0.01,5243,291.717
0.05,0.01,4983,258.678
0.06,0.01,5510,297.699
0.09,0.01,2459,111.524
0.11,0.01,1317,65.454
0.07,0.01,3189,150.858
0.41,0.01,87,6.814
0.38,0.01,70,4.57
0.42,0.01,24,3.993
0.4,0.01,71,7.253
0.35,0.01,122,3.908
0.39,0.01,9,0.963
0.32,0.01,185,6.849
0.37,0.01,189,7.662
0.08,0.01,2549,143.33
0.36,0.01,131,7.002
0.15,0.01,1634,61.135
0.13,0.01,2380,98.549
0.3,0.01,134,5.775
0.33,0.01,112,4.429
0.34,0.01,156,5.635
0.31,0.01,333,11.528
0.28,0.01,111,3.744
0.19,0.01,309,9.531
0.02,0.01,116,22.929
0.13,0.02,106,17.107
0.12,0.02,81,13.259
0.1,0.02,122,21.083
0.11,0.02,201,30.815
0.17,0.02,35,4.725
0.23,0.03,43,5.203
0.3,0.05,43,5.557
0.19,0.03,46,6.199
0.09,0.02,73,15.122
0.14,0.02,62,10.05
0.16,0.02,34,4.454
0.15,0.02,118,13.146
0.28,0.05,47,6.554
0.34,0.08,45,7.929
0.22,0.06,48,8.888
0.12,0.03,49,8.171
0.19,0.04,46,8.08
0.24,0.06,47,9.032
0.19,0.05,46,8.892
0.14,0.03,43,8.44
0.17,0.05,42,9.022
0.17,0.04,42,8.214
0.15,0.03,33,6.271
0.18,0.03,36,6.722
0.22,0.05,40,7.074
0.24,0.04,40,6.482
0.2,0.03,44,4.749
0.23,0.02,26,3.656
0.25,0.02,27,3.461
0.3,0.03,34,3.712
0.32,0.04,28,4.293
0.27,0.03,30,4.011
0.34,0.02,23,2.29
0.29,0.02,19,2.742
