x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
120,74,99,0.015,0,0
120,72,213,0.038,0,0
120,70,213,0.064,0,0
120,68,213,0.084,0,0
120,66,213,0.087,0,0
120,64,213,0.07,0,0
120,62,114,0.039,0,0
120,60,248,0.035,0,0
120,58,248,0.103,0,0
120,56,229,0.406,0,0
120,54,229,1.17,0,0
120,52,229,2.357,0,0
120,50,134,3.311,0,0
120,48,272,3.291,0,0
120,46,412,2.449,0,0
120,44,412,1.954,0,0
120,42,551,2.962,0,0
120,40,551,5.883,0,0
120,38,689,10.533,0,0
120,36,555,16.38,0,0
120,34,555,21.85,0,0
120,32,630,23.785,0,0
120,30,630,20.102,0,0
120,28,630,12.801,0,0
120,26,908,6.067,0,0
120,24,632,2.152,0,0
120,22,604,0.657,0,0
120,20,604,0.36,0,0
120,18,464,0.514,0,0
120,16,250,0.878,0,0
120,14,250,1.336,0,0
120,12,250,1.61,0,0
120,10,250,1.437,0,0
120,8,250,0.917,0,0
120,6,110,0.411,0,0
120,4,110,0.129,0,0
120,2,110,0.028,0,0
118,78,99,0.008,0,0
118,76,99,0.034,0,0
118,74,300,0.118,0,0
118,72,300,0.264,0,0
118,70,300,0.443,0,0
118,68,300,0.575,0,0
118,66,300,0.586,0,0
118,64,300,0.466,0,0
118,62,300,0.282,0,0
118,60,442,0.171,0,0
118,58,343,0.299,0,0
118,56,343,1.043,0,0
118,54,229,2.929,0,0
118,52,311,5.859,0,0
118,50,449,8.217,0,0
118,48,449,8.118,0,0
118,46,507,5.947,0,0
118,44,412,4.413,0,0
118,42,551,5.978,0,0
118,40,689,11.015,0,0
118,38,689,18.148,0,0
118,36,555,25.889,0,0
118,34,630,32.586,0,0
118,32,768,34.789,0,0
118,30,872,29.643,0,0
118,28,768,19.349,0,0
118,26,1052,9.621,0,0
118,24,914,3.833,0,0
118,22,1024,1.636,0,0
118,20,886,1.394,0,0
118,18,608,2.059,0,0
118,16,469,3.2,0,0
118,14,250,4.48,0,0
118,12,250,5.174,0,0
118,10,250,4.532,0,0
118,8,250,2.87,0,0
118,6,250,1.286,0,0
118,4,110,0.403,0,0
118,2,110,0.089,0,0
118,0,110,0.014,0,0
116,80,239,0.018,0,0
116,78,239,0.065,0,0
116,76,440,0.221,0,0
116,74,440,0.597,0,0
116,72,440,1.268,0,0
116,70,544,2.09,0,0
116,68,544,2.679,0,0
116,66,404,2.7,0,0
116,64,404,2.128,0,0
116,62,633,1.295,0,0
116,60,633,0.68,0,0
116,58,343,0.713,0,0
116,56,425,2.023,0,0
116,54,425,5.343,0,0
116,52,311,10.374,0,0
116,50,449,14.343,0,0
116,48,449,14.048,0,0
116,46,589,10.138,0,0
116,44,589,7.055,0,0
116,42,689,8.604,0,0
116,40,689,14.87,0,0
116,38,689,22.987,0,0
116,36,1007,30.456,0,0
116,34,1011,36.231,0,0
116,32,1011,38.02,0,0
116,30,1011,32.955,0,0
116,28,1388,22.677,0,0
116,26,1388,12.657,0,0
116,24,1221,6.47,0,0
116,22,1117,4.105,0,0
116,20,1024,4.335,0,0
116,18,876,6.075,0,0
116,16,737,8.471,0,0
116,14,599,10.812,0,0
116,12,524,11.779,0,0
116,10,380,10.035,0,0
116,8,250,6.278,0,0
116,6,250,2.801,0,0
116,4,110,0.876,0,0
116,2,110,0.192,0,0
116,0,110,0.029,0,0
114,80,239,0.095,0,0
114,78,326,0.306,0,0
114,76,440,0.865,0,0
114,74,544,2.127,0,0
114,72,544,4.322,0,0
114,70,544,6.967,0,0
114,68,671,8.838,0,0
114,66,671,8.82,0,0
114,64,626,6.874,0,0
114,62,898,4.139,0,0
114,60,853,2.081,0,0
114,58,988,1.671,0,0
114,56,698,3.407,0,0
114,54,698,7.738,0,0
114,52,446,13.814,0,0
114,50,449,18.231,0,0
114,48,449,17.394,0,0
114,46,449,12.254,0,0
114,44,589,8.003,0,0
114,42,866,8.799,0,0
114,40,828,14.431,0,0
114,38,932,21.549,0,0
114,36,1145,27.551,0,0
114,34,1011,32.225,0,0
114,32,1104,34.416,0,0
114,30,1248,31.56,0,0
114,28,1388,24.443,0,0
114,26,1388,17.076,0,0
114,24,1360,12.008,0,0
114,22,1221,9.749,0,0
114,20,1107,10.436,0,0
114,18,969,13.245,0,0
114,16,737,16.479,0,0
114,14,599,18.908,0,0
114,12,524,19.134,0,0
114,10,524,15.683,0,0
114,8,380,9.649,0,0
114,6,380,4.272,0,0
114,4,250,1.332,0,0
114,2,110,0.291,0,0
114,0,110,0.045,0,0
112,80,326,0.39,0,0
112,78,440,1.102,0,0
112,76,544,2.639,0,0
112,74,544,5.672,0,0
112,72,671,10.717,0,0
112,70,671,16.763,0,0
112,68,671,20.974,0,0
112,66,809,20.738,0,0
112,64,904,16.024,0,0
112,62,1033,9.592,0,0
112,60,1115,4.876,0,0
112,58,1115,3.647,0,0
112,56,889,5.887,0,0
112,54,698,10.667,0,0
112,52,584,16.001,0,0
112,50,584,18.726,0,0
112,48,584,16.553,0,0
112,46,449,11.03,0,0
112,44,867,6.63,0,0
112,42,1145,6.455,0,0
112,40,1154,10.172,0,0
112,38,1147,15.397,0,0
112,36,1285,20.786,0,0
112,34,1104,26.574,0,0
112,32,1248,31.349,0,0
112,30,1388,32.278,0,0
112,28,1388,29.663,0,0
112,26,1388,26.037,0,0
112,24,1360,22.361,0,0
112,22,1490,19.552,0,0
112,20,1211,19.457,0,0
112,18,969,21.8,0,0
112,16,830,24.048,0,0
112,14,737,24.59,0,0
112,12,639,22.707,0,0
112,10,639,17.624,0,0
112,8,495,10.561,0,0
112,6,495,4.644,0,0
112,4,495,1.473,0,0
112,2,225,0.339,0,0
112,0,225,0.062,0,0
110,80,326,1.16,0,0
110,78,440,3.02,0,0
110,76,544,6.314,0,0
110,74,671,11.665,0,0
110,72,671,19.818,0,0
110,70,671,29.6,0,0
110,68,809,36.55,0,0
110,66,904,36.011,0,0
110,64,1039,27.773,0,0
110,62,981,16.742,0,0
110,60,1115,8.934,0,0
110,58,1256,7.131,0,0
110,56,1115,10.454,0,0
110,54,802,15.892,0,0
110,52,698,19.72,0,0
110,50,584,19.299,0,0
