matchId,teamId,eventSequence,recipientPlayerId,period,minute,second,x,y,playId,GoalProbability,endX,endY,event,positionName,recipientPositionName,MaxPossessionGoalProbabilty,matchDetails
69138,217,398,,1,9,47,26.4,40.8,18,,26.7,40.2,Run,GK,,0,Sporting Gijón (A)
69138,217,526,,1,11,54,9,33.2,22,,16.8,28.9,Run,GK,,0.03472027,Sporting Gijón (A)
69138,217,667,,1,15,37,10.3,37.5,30,,59,60,Pass,GK,,0,Sporting Gijón (A)
69138,217,785,,1,18,49,13.6,19.9,38,,13.6,19.9,Run,GK,,0.05053478,Sporting Gijón (A)
69138,217,858,,1,20,1,6.9,43.9,38,,6.5,41,Run,GK,,0.05053478,Sporting Gijón (A)
69138,217,1575,,1,42,34,17.5,38.3,79,,23.1,40.5,Run,GK,,0,Sporting Gijón (A)
69138,217,1962,,2,53,12,5.3,35.3,105,,13,30.3,Run,GK,,0,Sporting Gijón (A)
69138,217,2379,,2,65,16,10.9,35.1,130,,7.2,35.9,Run,GK,,0.11297116,Sporting Gijón (A)
69138,217,3018,,2,78,54,7.9,35.4,159,,7.8,35.1,Run,GK,,0,Sporting Gijón (A)
69138,217,37,,1,0,34,54,50.3,2,,54,59.2,Run,CDM,,0,Sporting Gijón (A)
69138,217,79,,1,1,2,66.8,46.1,2,,67.1,47.2,Run,CDM,,0,Sporting Gijón (A)
69138,217,95,,1,1,18,70.3,54,2,,72.9,56.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,131,,1,2,48,88.3,49.9,6,,89.1,52,Run,CDM,,0,Sporting Gijón (A)
69138,217,180,,1,4,49,58.2,26.3,11,,58.2,26.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,311,,1,8,7,54.8,38.3,16,,58.5,38.8,Run,CDM,,0,Sporting Gijón (A)
69138,217,411,,1,9,58,68.7,38,18,,67.4,31.6,Run,CDM,,0,Sporting Gijón (A)
69138,217,444,,1,10,54,28.2,20.1,20,,38.1,20.3,Run,CDM,,0.02986651,Sporting Gijón (A)
69138,217,529,,1,11,57,41.7,29.7,22,,52.3,33.3,Run,CDM,,0.03472027,Sporting Gijón (A)
69138,217,551,,1,13,3,44.4,47.5,25,,44.4,38.8,Run,CDM,,0,Sporting Gijón (A)
69138,217,616,,1,14,28,77.6,52,26,,76.4,52.2,Run,CDM,,0,Sporting Gijón (A)
69138,217,638,,1,14,43,48.4,35.4,28,,48.4,35.4,Run,CDM,,0,Sporting Gijón (A)
69138,217,693,,1,16,7,66.5,33.2,31,,64.7,28.5,Run,CDM,,0,Sporting Gijón (A)
69138,217,729,,1,16,56,71.1,41,34,,71.7,42,Run,CDM,,0,Sporting Gijón (A)
69138,217,732,,1,16,57,71.7,42,34,,66.5,38.6,Run,CDM,,0,Sporting Gijón (A)
69138,217,755,,1,17,11,71.1,18.8,34,,71.1,17.2,Run,CDM,,0,Sporting Gijón (A)
69138,217,810,,1,19,18,71.6,43.4,38,,72.1,48.3,Run,CDM,,0.05053478,Sporting Gijón (A)
69138,217,924,,1,21,59,75.6,44.7,41,,75.6,44.7,Run,CDM,,0.020902028,Sporting Gijón (A)
69138,217,997,,1,25,9,49.1,34.3,47,,48.3,34.6,Run,CDM,,0,Sporting Gijón (A)
69138,217,1028,,1,26,24,78.4,12.3,49,,78.8,11.3,Run,CDM,,0.43522528,Sporting Gijón (A)
69138,217,1130,,1,29,0,68.2,57,54,,68.1,57.4,Run,CDM,,0,Sporting Gijón (A)
69138,217,1217,,1,33,57,34.1,56.6,63,,34.1,56.6,Run,CDM,,0,Sporting Gijón (A)
69138,217,1238,,1,34,20,54.2,24.6,63,,56.1,24.1,Run,CDM,,0,Sporting Gijón (A)
69138,217,1274,,1,35,13,34.9,33.3,65,,34.9,33.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,1359,,1,37,3,48.9,32.9,69,,51.8,32.2,Run,CDM,,0,Sporting Gijón (A)
69138,217,1492,,1,40,24,58.3,37,74,,60.1,41.5,Run,CDM,,0,Sporting Gijón (A)
69138,217,1502,,1,40,32,63.4,38.3,74,,63.4,38.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,1516,,1,40,43,62.2,33.3,74,,63.8,29.5,Run,CDM,,0,Sporting Gijón (A)
69138,217,1523,,1,41,25,67.1,41,75,,67.6,39.9,Run,CDM,,0,Sporting Gijón (A)
69138,217,1605,,1,43,49,111.5,29.7,81,,111.5,29.7,Run,CDM,,0.059490785,Sporting Gijón (A)
69138,217,1769,,2,45,56,61.8,37.1,92,,63.6,39.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,2069,,2,57,53,68.6,50.4,115,,67.2,47,Run,CDM,,0,Sporting Gijón (A)
69138,217,2087,,2,58,8,74.6,29.7,115,,79.5,36.6,Run,CDM,,0,Sporting Gijón (A)
69138,217,2129,,2,58,57,62.1,45.6,117,,74.7,53.1,Run,CDM,,0,Sporting Gijón (A)
69138,217,2197,,2,60,58,63,54.7,122,,67,56.5,Run,CDM,,0,Sporting Gijón (A)
69138,217,2260,,2,63,41,76.3,36.2,125,,75.7,35.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,2394,,2,65,27,56.2,24.5,130,,66.3,25.5,Run,CDM,,0.11297116,Sporting Gijón (A)
69138,217,2425,,2,65,58,46.5,57,136,,45.7,57.3,Run,CDM,,0.041019347,Sporting Gijón (A)
69138,217,2584,,2,69,13,82.8,28,140,,75.2,39,Run,CDM,,0.31082663,Sporting Gijón (A)
69138,217,2657,,2,72,18,42,27.4,144,,44.4,28.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,2762,,2,74,7,37.4,51.5,149,,39.3,51.5,Run,CDM,,0,Sporting Gijón (A)
69138,217,2774,,2,74,17,46.4,65.6,149,,44,64.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,2790,,2,74,33,40.5,61.9,149,,41.3,63,Run,CDM,,0,Sporting Gijón (A)
69138,217,2828,,2,75,37,64.4,28,151,,64.4,28,Run,CDM,,0,Sporting Gijón (A)
69138,217,2854,,2,75,59,65.8,25.7,151,,65.3,25.8,Run,CDM,,0,Sporting Gijón (A)
69138,217,2934,,2,77,15,42.3,24.5,154,,43.1,23.8,Run,CDM,,0,Sporting Gijón (A)
69138,217,2940,,2,77,18,49.6,18.8,154,,50.2,18,Run,CDM,,0,Sporting Gijón (A)
69138,217,2964,,2,77,47,44.4,49.3,156,,44.4,49.3,Run,CDM,,0,Sporting Gijón (A)
69138,217,2970,,2,77,50,46.2,60.6,156,,46.7,61.8,Run,CDM,,0,Sporting Gijón (A)
69138,217,2976,,2,77,53,46.5,60.4,156,,49.6,55.5,Run,CDM,,0,Sporting Gijón (A)
