endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
48,32,30612,480.172922840911,0.188,0.011
48,34,30900,417.793802286344,0.096,0.008
48,36,31461,369.803074217073,0.061,0.007
48,38,31715,347.655118318767,0.064,0.008
48,40,31989,349.194587201685,0.085,0.01
48,42,31940,366.718011436757,0.106,0.01
46,30,29786,480.732339203594,0.211,0.014
46,32,29511,435.737279534361,0.117,0.009
46,34,29100,392.568829712677,0.073,0.007
46,36,29078,365.52807180311,0.065,0.008
46,38,29073,358.8819748333,0.085,0.01
46,40,28785,367.325511372793,0.115,0.011
46,42,28876,384.473037789819,0.139,0.011
46,44,30103,408.586135057264,0.151,0.01
46,46,30375,436.93077853753,0.16,0.011
44,28,26736,441.308267293626,0.156,0.014
44,30,27147,415.914549296307,0.102,0.01
44,32,26847,383.678994748541,0.068,0.007
44,34,25871,363.948906422073,0.058,0.008
44,36,25861,363.05775226712,0.079,0.01
44,38,24889,377.098562712632,0.123,0.012
44,40,25704,396.741370345266,0.172,0.012
44,42,25946,416.21709428099,0.212,0.012
44,44,27066,434.489409777421,0.224,0.011
44,46,26762,445.867766552895,0.193,0.01
44,48,28404,450.831276921232,0.147,0.01
42,26,24966,389.903406544783,0.11,0.014
42,28,24765,377.406769316997,0.09,0.012
42,30,24072,351.610586936756,0.069,0.011
42,32,23931,331.786676670635,0.05,0.009
42,34,23218,329.710684182269,0.05,0.009
42,36,21965,344.111626166261,0.082,0.011
42,38,22130,368.958971348034,0.138,0.013
42,40,22650,395.619227558893,0.2,0.014
42,42,23344,419.211039874339,0.258,0.013
42,44,24835,437.453014600505,0.279,0.012
42,46,25122,442.002008203072,0.234,0.01
42,48,26204,431.473928857673,0.156,0.008
40,26,23295,348.488522996308,0.101,0.015
40,28,23065,321.15836088969,0.114,0.018
40,30,22118,298.453681328335,0.095,0.018
40,32,21817,292.013573171355,0.058,0.014
40,34,20713,299.845503617613,0.045,0.011
40,36,20159,314.39022928931,0.067,0.011
40,38,20597,334.075058732643,0.114,0.012
40,40,18781,357.495374988881,0.168,0.013
40,42,19711,381.515397000406,0.22,0.013
40,44,22358,401.574238645742,0.24,0.011
40,46,23304,408.919598129532,0.205,0.009
40,48,24254,400.754913804751,0.142,0.007
40,50,24945,389.825705493377,0.117,0.007
38,26,19977,323.089873726341,0.13,0.019
38,28,20134,283.70207014661,0.172,0.028
38,30,20166,265.277987751415,0.147,0.029
38,32,19157,268.590963936329,0.08,0.02
38,34,18615,278.039927173745,0.042,0.012
38,36,18931,282.37935248966,0.044,0.01
38,38,18773,286.518171170213,0.069,0.01
38,40,17930,297.6345424425,0.101,0.011
38,42,18326,315.274254387633,0.13,0.011
38,44,19019,334.979430672916,0.139,0.009
38,46,21282,350.45683048248,0.12,0.007
38,48,21751,357.136166193847,0.095,0.005
38,50,21876,357.675132390611,0.1,0.006
36,26,17623,311.127656603767,0.131,0.02
36,28,17756,268.03394121973,0.181,0.03
36,30,17509,250.695149402353,0.158,0.032
36,32,17502,253.135020951244,0.089,0.022
36,34,17365,254.498938698872,0.041,0.013
36,36,17092,244.659369554319,0.026,0.008
36,38,16389,232.301513284927,0.03,0.008
36,40,16815,228.987899507293,0.042,0.008
36,42,16951,237.786459294609,0.052,0.008
36,44,17492,257.434233121447,0.055,0.007
36,46,18484,283.297505042147,0.049,0.005
36,48,18482,306.706873231923,0.048,0.005
36,50,19127,320.988416261227,0.068,0.006
34,26,14700,293.766252783792,0.083,0.015
34,28,14983,257.979585378048,0.117,0.023
34,30,15542,240.326452804701,0.112,0.025
34,32,15288,234.132984720841,0.073,0.018
34,34,15409,222.78416938803,0.036,0.011
34,36,15279,200.712302034435,0.017,0.007
34,38,14714,177.59748704408,0.011,0.006
34,40,15564,165.7399565334,0.012,0.007
34,42,14891,171.079578793529,0.015,0.009
34,44,16159,194.550059494653,0.018,0.009
34,46,16264,229.408729244624,0.019,0.008
34,48,16660,261.916609746002,0.023,0.007
34,50,15502,281.109372360521,0.038,0.007
32,26,13047,258.704000516786,0.037,0.009
32,28,13189,235.467666210169,0.058,0.014
32,30,13224,220.467893731679,0.062,0.015
32,32,12950,209.030810853822,0.046,0.012
32,34,13362,190.371665389371,0.024,0.007
32,36,12799,162.370079842224,0.01,0.005
32,38,13353,135.872838820154,0.004,0.005
32,40,13772,124.148084312398,0.003,0.009
32,42,14191,133.762222005916,0.009,0.016
32,44,14766,163.339661386197,0.022,0.02
32,46,13925,202.050867384972,0.033,0.019
