endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
44,70,2375,27.9136833011713,0,0.002
42,64,2459,24.9390991249429,0.002,0.012
42,66,2284,24.2447279991897,0.001,0.008
42,68,2006,20.1440660569427,0,0.004
42,70,2145,18.2284317766025,0,0.002
42,72,2005,22.2860167560505,0,0
42,74,1719,28.9070295753849,0,0
42,76,1464,30.2619398939362,0,0
40,62,2310,24.1473876945274,0.008,0.027
40,64,2320,26.2139145632084,0.007,0.023
40,66,2321,22.092666155137,0.003,0.017
40,68,1904,15.5582285189098,0.001,0.011
40,70,1764,12.5088926264926,0,0.004
40,72,1481,15.3995471612986,0,0.001
40,74,1226,21.1949217466337,0,0
40,76,1086,23.6223038980787,0,0
40,78,843,19.3610596062693,0,0
40,80,702,11.3993636249286,0,0
38,60,2019,22.2352675970738,0.01,0.036
38,62,1743,30.887152768297,0.018,0.033
38,64,1945,32.7209456145712,0.015,0.029
38,66,1866,26.1162257441554,0.007,0.023
38,68,1612,17.2077328668752,0.002,0.016
38,70,1194,12.1987422147775,0,0.007
38,72,1226,12.2788762362675,0,0.001
38,74,1226,14.8187863931653,0,0
38,76,820,15.9081294723209,0,0
38,78,562,13.1810390816834,0,0
38,80,562,7.97618255161046,0,0
36,60,1602,22.6219714363318,0.012,0.039
36,62,1464,32.0030004296063,0.02,0.037
36,64,1415,34.0183688063448,0.018,0.033
36,66,1249,28.4073647396198,0.008,0.027
36,68,1333,21.5039994609698,0.002,0.018
36,70,1333,17.4870925599562,0.001,0.009
36,72,1194,15.2554271464979,0,0.003
36,74,1068,13.0556455670647,0,0.001
36,76,679,10.5412031504589,0,0
36,78,562,7.54918117985451,0,0
36,80,562,4.33693729538079,0,0
34,58,1196,10.9717395793112,0.002,0.037
34,60,1196,19.2708705923147,0.007,0.044
34,62,1325,26.3689315401633,0.012,0.049
34,64,1047,28.4452570605099,0.011,0.052
34,66,1137,27.0881784136836,0.006,0.048
34,68,1249,26.7475257624542,0.003,0.032
34,70,1123,27.1160379420802,0.001,0.015
34,72,1207,23.8952483576466,0,0.006
34,74,927,16.6098509479861,0,0.002
34,76,787,9.28843353198901,0,0.001
34,78,562,4.53821867374689,0,0
34,80,478,2.01703090096947,0,0
32,58,1057,11.2280821746713,0.001,0.036
32,60,919,17.4532893325774,0.003,0.061
32,62,919,21.5584934715723,0.008,0.097
32,64,780,23.2301750595104,0.013,0.132
32,66,780,25.7758717028912,0.013,0.125
32,68,870,31.4110242142726,0.007,0.077
32,70,982,35.7484545307337,0.002,0.036
32,72,982,32.066949294386,0,0.015
32,74,843,21.10120442992,0,0.006
32,76,703,10.1024348139464,0,0.002
32,78,478,3.64965646325008,0,0
32,80,478,1.08618829026679,0,0
30,58,919,13.8935251223913,0.001,0.044
