x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,58,132,0.0158053372632658,0,0
0,60,132,0.0529190457576322,0,0
0,62,132,0.123526764437504,0,0
0,64,132,0.201025408120135,0,0
0,66,132,0.228077090294412,0,0
0,68,132,0.180406923265534,0,0
0,70,132,0.0994868226600268,0,0
0,72,132,0.0382488821112499,0,0
0,74,132,0.0102520981964984,0,0
2,56,132,0.0160929894381531,0,0
2,58,132,0.0772865886251922,0,0
2,60,132,0.258769076026838,0,0
2,62,132,0.604034072051794,0,0
2,64,132,0.982995032741365,0,0
2,66,132,1.11527517311407,0,0
2,68,132,0.882172612410229,0,0
2,70,132,0.486481054372908,0,0
2,72,132,0.187033377894199,0,0
2,74,132,0.0501317803384937,0,0
2,76,132,0.00936802332707359,0,0
4,54,132,0.00796436829192464,0,0
4,56,132,0.0548627940870078,0,0
4,58,132,0.263478591950026,0,0
4,60,132,0.882172612410227,0,0
4,62,132,2.05921945353104,0,0
4,64,132,3.35113959262191,0,0
4,66,132,3.80209732989992,0,0
4,68,132,3.00742472800719,0,0
4,70,132,1.65846811842277,0,0
4,72,132,0.637617624633485,0,0
4,74,132,0.170904824892592,0,0
4,76,132,0.0319366353138245,0,0
6,54,132,0.0189292477360479,0,0
6,56,132,0.130394700834935,0,0
6,58,132,0.626220606249971,0,0
6,60,132,2.0966966009346,0,0
6,62,132,4.89423313312883,0,0
6,64,132,7.96479384449578,0,0
6,66,132,9.03660398869494,0,0
6,68,132,7.14787232801454,0,0
6,70,132,3.94175064804485,0,0
6,72,132,1.5154525174075,0,0
6,74,132,0.406196656294504,0,0
6,76,132,0.0759051389328844,0,0
6,78,132,0.00988887391903208,0,0
8,54,132,0.0313657878251145,0,0
8,56,132,0.216064186857208,0,0
8,58,132,1.03764834932907,0,0
8,60,132,3.47422896226958,0,0
8,62,132,8.10975059130452,0,0
8,64,132,13.1976736360993,0,0
8,66,132,14.9736644224493,0,0
8,68,132,11.8440336334422,0,0
8,70,132,6.53148588945963,0,0
8,72,132,2.51110676889283,0,0
8,74,132,0.673068381494192,0,0
8,76,132,0.125774912759516,0,0
8,78,132,0.0163858767922928,0,0
10,54,132,0.036234299555894,0,0
10,56,132,0.249601078523401,0,0
10,58,132,1.19870928582778,0,0
10,60,132,4.01348927202276,0,0
10,62,132,9.36852387981886,0,0
10,64,132,15.2461804128015,0,0
10,66,132,17.2978356277101,0,0
10,68,132,13.6824321141585,0,0
10,70,132,7.54528525103008,0,0
10,72,132,2.90087388807884,0,0
10,74,132,0.777540213325481,0,0
10,76,132,0.145297350442946,0,0
10,78,132,0.018929247736048,0,0
12,54,132,0.0291826257292711,0,0
12,56,132,0.201025408120135,0,0
12,58,132,0.965424608044441,0,0
12,60,132,3.23241118855388,0,0
12,62,132,7.54528525103006,0,0
12,64,132,12.2790721013222,0,0
12,66,132,13.9314480819818,0,0
12,68,132,11.0196498993368,0,0
12,70,132,6.07687296843531,0,0
12,72,132,2.33632547065064,0,0
12,74,132,0.626220606249974,0,0
12,76,132,0.117020564752203,0,0
12,78,132,0.0152453658215641,0,0
14,46,112,0.00694774669323435,0,0
14,48,112,0.018400251078622,0,0
14,50,112,0.0339738173003143,0,0
14,52,112,0.043732647500226,0,0
14,54,244,0.0556330170197456,0,0
14,56,244,0.137430242930253,0,0
14,58,244,0.552791496848043,0,0
14,60,132,1.81498032319093,0,0
14,62,132,4.23663434651363,0,0
14,64,132,6.89462848348604,0,0
14,66,132,7.82242810935981,0,0
14,68,132,6.18747014815806,0,0
14,70,132,3.41212928085901,0,0
14,72,132,1.3118333375457,0,0
14,74,132,0.351619274906942,0,0
14,76,132,0.0657063752241739,0,0
14,78,132,0.00856018537615736,0,0
16,44,112,0.0121525019019099,0,0
16,46,112,0.0461641289924397,0,0
16,48,112,0.122260007710694,0,0
16,50,112,0.225738178644964,0,0
16,52,112,0.290580481632598,0,0
16,54,244,0.26719103774445,0,0
16,56,244,0.207345040939006,0,0
16,58,244,0.283371959294395,0,0
16,60,244,0.732133302344796,0,0
16,62,132,1.65846811842277,0,0
16,64,132,2.69896351514044,0,0
16,66,132,3.06215891364407,0,0
16,68,132,2.42214010818688,0,0
16,70,132,1.33570829233782,0,0
16,72,132,0.513528803540488,0,0
16,74,132,0.137644486061435,0,0
16,76,132,0.0257213437775413,0,0
18,42,112,0.0103316353339355,0,0
18,44,112,0.0562946589272832,0,0
18,46,112,0.213848466536432,0,0
18,48,112,0.566351315150908,0,0
18,50,112,1.04569856283562,0,0
18,52,112,1.3460708944108,0,0
18,54,112,1.20800903143951,0,0
18,56,244,0.76787002561541,0,0
18,58,244,0.387596551345522,0,0
18,60,244,0.294161880804782,0,0
18,62,244,0.473876659068993,0,0
18,64,132,0.736586887021797,0,0
18,66,132,0.835708259527833,0,0
18,68,132,0.661037702885426,0,0
18,70,132,0.364534462027035,0,0
18,72,132,0.140149572483655,0,0
18,74,132,0.0375652071378343,0,0
18,76,132,0.00701973347799436,0,0
20,38,144,0.00867209418269394,0,0
20,40,144,0.00949049314099372,0,0
20,42,256,0.0406074872711704,0,0
20,44,112,0.181806544101712,0,0
20,46,112,0.690634802720096,0,0
20,48,112,1.82906118124012,0,0
20,50,112,3.37713817800809,0,0
20,52,112,4.34720632635583,0,0
20,54,112,3.90132832198818,0,0
20,56,112,2.44093139236931,0,0
20,58,244,1.0757490094298,0,0
20,60,244,0.360684319080415,0,0
20,62,244,0.154767869922991,0,0
20,64,244,0.150296536263224,0,0
20,66,132,0.159009286423014,0,0
20,68,132,0.125774912759516,0,0
20,70,132,0.0693595689915348,0,0
20,72,132,0.0266661041805514,0,0
20,74,132,0.00714749042290733,0,0
22,18,139,0.00771575624266286,0,0
22,20,139,0.00844390410850266,0,0
22,22,277,0.0196966354305807,0,0
22,24,138,0.0236052587483092,0,0
22,26,138,0.0293092206477744,0,0
22,28,138,0.0253711761349066,0,0
22,30,138,0.0153115005779645,0,0
22,32,282,0.012940476158049,0,0
22,34,144,0.02098644923082,0,0
22,36,144,0.0472522082343059,0,0
22,38,144,0.0741730398469867,0,0
22,40,256,0.0907853839881108,0,0
22,42,256,0.137058935596067,0,0
22,44,256,0.44229096772243,0,0
22,46,256,1.56722092985646,0,0
22,48,112,4.11823738540388,0,0
22,50,112,7.60382257465988,0,0
22,52,112,9.78798730129113,0,0
22,54,112,8.78406710127293,0,0
22,56,112,5.49589867105795,0,0
22,58,112,2.39730126221456,0,0
22,60,252,0.740115747504128,0,0
22,62,384,0.18537412482868,0,0
22,64,384,0.065075986488134,0,0
22,66,272,0.0411893735064769,0,0
22,68,272,0.0285956779540498,0,0
22,70,132,0.00920057573787435,0,0
24,12,139,0.0058868655557829,0,0
24,14,139,0.019011940078912,0,0
24,16,139,0.0428064863029615,0,0
24,18,277,0.0773069998790134,0,0
24,20,277,0.110589517503192,0,0
24,22,277,0.150760969861422,0,0
24,24,277,0.198421689465284,0,0
24,26,277,0.220380473921113,0,0
24,28,138,0.181189532752428,0,0
24,30,282,0.117712701164738,0,0
24,32,282,0.0847563745743384,0,0
24,34,282,0.138637091366817,0,0
24,36,144,0.281763690052953,0,0
24,38,144,0.442291909535743,0,0
24,40,400,0.505785134447522,0,0
24,42,400,0.501702225800393,0,0
24,44,400,0.860917331812236,0,0
24,46,482,2.54341051972289,0,0
24,48,482,6.50903715577491,0,0
24,50,338,11.9527250433731,0,0
24,52,194,15.3696962041538,0,0
24,54,112,13.7885822370581,0,0
24,56,252,8.6361455085124,0,0
24,58,252,3.7958122146842,0,0
24,60,252,1.22643606115992,0,0
24,62,252,0.386147505038734,0,0
24,64,252,0.210879765689266,0,0
24,66,140,0.148793417993731,0,0
24,68,140,0.0881917410215553,0,0
24,70,140,0.0364429006480767,0,0
24,72,281,0.0208847275280841,0,0.449
24,74,141,0.0146309455368869,0,0.902
24,76,141,0.0143694264872089,0,0.902
24,78,141,0.00983891709175111,0,0.902
26,10,139,0.00771575624266286,0,0
26,12,139,0.0357420940603596,0,0
26,14,139,0.115430961371772,0,0
26,16,277,0.269479404425863,0,0
26,18,277,0.458320377943082,0,0
26,20,277,0.63095911696887,0,0
26,22,277,0.811924276701219,0,0
26,24,277,1.02052861184934,0,0
26,26,277,1.10934416499352,0,0
26,28,277,0.919496883545574,0,0
26,30,282,0.579206505135182,0,0
26,32,282,0.390154536835322,0,0
26,34,282,0.587434689748373,0,0
26,36,422,1.19154198456871,0,0
26,38,428,1.86099280622767,0,0
26,40,400,2.07808509728465,0,0
26,42,482,1.78168427646628,0,0
26,44,482,1.71010511376556,0,0
26,46,622,3.20702054144251,0,0
26,48,622,7.35876203067408,0,0
26,50,622,13.213683085644,0,0
26,52,338,16.8807435808969,0,0
26,54,334,15.1184470605389,0,0
26,56,334,9.49427342907239,0,0
26,58,252,4.28705370642679,0,0
26,60,252,1.67592080237873,0,0
26,62,252,1.00635011620738,0,0
26,64,252,0.942646120737562,0,0
26,66,140,0.768038458501511,0,0
26,68,281,0.46933869165815,0,0.027
26,70,281,0.229012742275412,0,0.161
26,72,281,0.136841133266849,0,0.545
26,74,281,0.127313802907386,0,0.825
26,76,141,0.114348294675968,0,0.902
26,78,141,0.0782956363569178,0,0.902
26,80,141,0.0373754344114224,0,0.902
28,4,109,0.00918740439392879,0,0
28,6,109,0.0146841820624879,0,0
28,8,109,0.0163624191277694,0,0
28,10,248,0.0453711127303839,0,0
28,12,248,0.158176644754205,0,0
28,14,279,0.496395627340425,0,0
28,16,417,1.14999313142851,0,0
28,18,557,1.93254490661191,0,0
28,20,557,2.57343316439467,0,0
28,22,557,3.13117544239189,0,0
28,24,557,3.7380058384987,0,0
28,26,417,3.94842264424382,0,0
28,28,561,3.25141034647077,0,0
28,30,799,2.03062679695187,0,0
28,32,562,1.28836168136721,0,0
28,34,562,1.78780030903901,0,0
28,36,566,3.51913732616517,0,0
28,38,566,5.47589529258537,0,0
28,40,762,6.16200567460091,0,0
28,42,762,5.20164431987891,0,0
28,44,902,3.96199966473223,0,0
28,46,762,4.19329643254729,0,0
28,48,762,6.78437729117927,0,0
28,50,762,10.8052703823161,0,0
28,52,618,13.2465400103066,0,0
28,54,758,11.7103356371235,0,0
28,56,334,7.40755224170608,0,0
28,58,334,3.75737280760133,0,0
28,60,252,2.47970124589386,0,0
28,62,252,2.86856643007746,0,0
28,64,252,3.28096446374389,0,0
28,66,281,2.78273815999445,0,0.006
28,68,281,1.71649681916072,0,0.041
28,70,281,0.903868125945684,0,0.227
28,72,281,0.653549276276227,0,0.633
28,74,281,0.685111517458078,0,0.851
28,76,141,0.634396494117926,0,0.902
28,78,141,0.434378819118496,0,0.902
28,80,141,0.207356346012251,0,0.902
30,0,109,0.00952486327449492,0,0
30,2,109,0.0313208852460437,0,0
30,4,109,0.0718042468475887,0,0
30,6,109,0.1147643652506,0,0
30,8,248,0.14238612143246,0,0
30,10,248,0.195725687354727,0,0
30,12,388,0.518790362381242,0,0
30,14,526,1.52953631920115,0,0
30,16,557,3.45768305703604,0,0
30,18,557,5.73904431022312,0,0
30,20,557,7.42773634115751,0,0
30,22,694,8.58560736463803,0,0
30,24,792,9.71569360101375,0,0
30,26,932,9.95987793735371,0,0
30,28,939,8.1026986050673,0,0
30,30,939,5.04864163607742,0,0.001
30,32,800,3.1268569744136,0,0.001
30,34,944,3.96667862061034,0,0.001
30,36,804,7.45519999656294,0,0
