x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
18,60,137,0.012,0,0
18,62,137,0.022,0,0
18,64,137,0.029,0,0
18,66,137,0.027,0,0
18,68,137,0.017,0,0
18,70,137,0.008,0,0
20,56,137,0.008,0,0
20,58,137,0.031,0,0
20,60,137,0.084,0,0
20,62,137,0.158,0,0
20,64,137,0.207,0,0
20,66,137,0.189,0,0
20,68,137,0.121,0,0
20,70,137,0.054,0,0
20,72,137,0.017,0,0
22,54,137,0.007,0,0
22,56,137,0.04,0,0
22,58,137,0.155,0,0
22,60,137,0.419,0,0
22,62,137,0.788,0,0
22,64,137,1.032,0,0
22,66,137,0.943,0,0
22,68,137,0.601,0,0
22,70,137,0.267,0,0
22,72,137,0.083,0,0
22,74,137,0.018,0,0
24,54,137,0.025,0,0
24,56,137,0.139,0,0
24,58,137,0.539,0,0
24,60,137,1.454,0,0
24,62,137,2.734,0,0
24,64,137,3.583,0,0
24,66,137,3.274,0,0
24,68,137,2.086,0,0
24,70,137,0.926,0,0
24,72,137,0.287,0,0
24,74,137,0.062,0,0
24,76,137,0.009,0,0
26,52,137,0.008,0,0
26,54,137,0.061,0,0
26,56,137,0.337,0,0
26,58,137,1.305,0,0
26,60,137,3.519,0,0
26,62,137,6.616,0,0
26,64,137,8.672,0,0
26,66,274,7.939,0,0
26,68,274,5.079,0,0
26,70,274,2.285,0,0
26,72,274,0.737,0,0
26,74,274,0.179,0,0
26,76,274,0.036,0,0
28,52,137,0.013,0,0
28,54,137,0.103,0,0
28,56,137,0.569,0,0
28,58,137,2.202,0,0
28,60,137,5.938,0,0
28,62,274,11.171,0,0
28,64,274,14.665,0,0
28,66,274,13.47,0,0
28,68,413,8.728,0,0
28,70,413,4.079,0,0
28,72,413,1.461,0,0
28,74,274,0.446,0,0
28,76,274,0.13,0,0
28,78,137,0.031,0,0
28,80,137,0.007,0,0
30,44,103,0.006,0,0
30,46,103,0.014,0,0
30,48,103,0.021,0,0
30,50,103,0.022,0,0
30,52,240,0.031,0,0
30,54,240,0.129,0,0
30,56,137,0.67,0,0
30,58,137,2.59,0,0
30,60,274,6.991,0,0
30,62,274,13.169,0,0
30,64,413,17.384,0,0
30,66,413,16.229,0,0
30,68,413,11.027,0,0
30,70,413,5.86,0,0.001
30,72,413,2.754,0,0.001
30,74,413,1.234,0,0.001
30,76,413,0.489,0,0.001
30,78,137,0.142,0,0
30,80,137,0.033,0,0
32,42,103,0.015,0,0
32,44,103,0.047,0,0
32,46,103,0.101,0,0
32,48,103,0.153,0,0
32,50,103,0.162,0,0
32,52,364,0.137,0,0
32,54,364,0.174,0,0
32,56,364,0.594,0,0
32,58,261,2.15,0,0
32,60,398,5.769,0,0
32,62,537,10.927,0,0
32,64,413,14.719,0,0
32,66,413,14.624,0,0.001
32,68,413,11.655,0,0.001
32,70,413,8.429,0,0.002
32,72,413,5.768,0,0.003
32,74,413,3.385,0,0.003
32,76,413,1.522,0,0.003
32,78,276,0.49,0,0.002
32,80,276,0.113,0,0.002
34,40,103,0.017,0,0
34,42,103,0.077,0,0
34,44,103,0.24,0,0
34,46,103,0.522,0,0
34,48,103,0.79,0,0
34,50,227,0.847,0,0
34,52,364,0.665,0,0
34,54,364,0.474,0,0
34,56,364,0.594,0,0
34,58,364,1.432,0,0
34,60,537,3.49,0,0
34,62,537,6.618,0,0.001
34,64,537,9.631,0,0.001
34,66,537,11.694,0,0.003
34,68,413,13.192,0,0.004
34,70,413,13.78,0.001,0.005
34,72,413,11.894,0.001,0.005
34,74,413,7.698,0,0.005
34,76,413,3.569,0,0.004
34,78,276,1.163,0,0.004
34,80,276,0.266,0,0.004
36,38,103,0.01,0,0
36,40,103,0.062,0,0
36,42,103,0.278,0,0
36,44,103,0.865,0,0
36,46,103,1.878,0,0
36,48,227,2.858,0,0
36,50,227,3.069,0,0
36,52,227,2.433,0,0
36,54,364,1.678,0,0
36,56,364,1.379,0,0
36,58,640,1.564,0,0
36,60,640,2.213,0,0.001
36,62,675,3.607,0,0.003
36,64,675,6.272,0,0.006
36,66,675,10.991,0.001,0.009
36,68,675,17.406,0.002,0.01
36,70,551,21.898,0.004,0.01
36,72,413,20.25,0.003,0.009
36,74,413,13.331,0.001,0.008
36,76,413,6.171,0,0.008
36,78,276,2,0,0.007
36,80,276,0.454,0,0.006
38,38,103,0.024,0,0
38,40,103,0.156,0,0
38,42,103,0.697,0,0
38,44,103,2.17,0,0
38,46,227,4.72,0,0
38,48,227,7.184,0,0
