endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
28,48,220,0.015,0,0
28,50,116,0.014,0,0
28,52,116,0.019,0,0
28,54,116,0.017,0,0
28,56,116,0.01,0,0
26,44,220,0.432,0,0
26,46,220,0.167,0,0
26,48,220,0.094,0,0
26,50,220,0.117,0,0
26,52,116,0.143,0,0
26,54,116,0.128,0,0
26,56,116,0.08,0,0
26,58,116,0.035,0,0
26,60,116,0.011,0,0
24,42,220,2.834,0,0
24,44,220,1.407,0,0
24,46,220,0.587,0,0
24,48,220,0.432,0,0
24,50,220,0.613,0,0
24,52,116,0.765,0,0
24,54,116,0.687,0,0
24,56,116,0.43,0,0
24,58,116,0.187,0,0
24,60,116,0.057,0,0
24,62,116,0.012,0,0
22,42,220,6.39,0,0
22,44,220,3.214,0,0
22,46,220,1.502,0,0
22,48,220,1.449,0,0
22,50,220,2.259,0,0
22,52,116,2.856,0,0
22,54,116,2.563,0,0
22,56,116,1.603,0,0
22,58,116,0.699,0,0
22,60,116,0.213,0,0
22,62,116,0.045,0,0
22,64,116,0.007,0,0
20,40,220,14.344,0,0
20,42,220,10.052,0,0
20,44,220,5.169,0,0
20,46,220,2.826,0,0
20,48,220,3.514,0,0
20,50,220,5.834,0,0
20,52,220,7.435,0,0
20,54,116,6.666,0,0
20,56,116,4.17,0,0
20,58,116,1.819,0,0
20,60,116,0.553,0,0
20,62,116,0.117,0,0
20,64,116,0.017,0,0
18,40,220,15.703,0,0
18,42,220,11.042,0,0
18,44,220,5.88,0,0
18,46,220,3.941,0,0
18,48,220,6.092,0,0
18,50,220,10.533,0,0
18,52,220,13.477,0,0
18,54,116,12.087,0,0
18,56,116,7.562,0,0
18,58,116,3.299,0,0
18,60,116,1.003,0,0
18,62,116,0.213,0,0
18,64,116,0.031,0,0
16,40,220,11.988,0,0
16,42,220,8.477,0,0
16,44,220,4.769,0,0
16,46,220,4.08,0,0
16,48,220,7.489,0,0
16,50,220,13.281,0,0
16,52,220,17.034,0,0
16,54,116,15.281,0,0
16,56,116,9.561,0,0
16,58,116,4.17,0,0
16,60,116,1.268,0,0
16,62,116,0.269,0,0
16,64,116,0.04,0,0
14,40,220,6.382,0,0
14,42,220,4.555,0,0
14,44,220,2.785,0,0
14,46,220,3.115,0,0
14,48,220,6.487,0,0
14,50,220,11.687,0,0
14,52,116,15.008,0,0
14,54,116,13.468,0,0
14,56,116,8.427,0,0
14,58,116,3.676,0,0
14,60,116,1.118,0,0
14,62,116,0.237,0,0
14,64,116,0.035,0,0
12,40,220,2.37,0,0
12,42,220,1.717,0,0
12,44,220,1.186,0,0
12,46,220,1.736,0,0
12,48,220,3.944,0,0
12,50,220,7.175,0,0
12,52,116,9.222,0,0
12,54,116,8.276,0,0
12,56,116,5.178,0,0
12,58,116,2.259,0,0
12,60,116,0.687,0,0
12,62,116,0.146,0,0
12,64,116,0.022,0,0
10,42,220,0.456,0,0
10,44,220,0.372,0,0
10,46,220,0.698,0,0
10,48,220,1.679,0,0
10,50,116,3.069,0,0
10,52,116,3.951,0,0
10,54,116,3.546,0,0
10,56,116,2.218,0,0
10,58,116,0.968,0,0
10,60,116,0.294,0,0
10,62,116,0.062,0,0
10,64,116,0.009,0,0
8,42,220,0.086,0,0
8,44,220,0.087,0,0
8,46,220,0.2,0,0
8,48,116,0.496,0,0
8,50,116,0.917,0,0
8,52,116,1.18,0,0
8,54,116,1.059,0,0
8,56,116,0.663,0,0
8,58,116,0.289,0,0
8,60,116,0.088,0,0
8,62,116,0.019,0,0
6,44,116,0.01,0,0
6,46,116,0.039,0,0
6,48,116,0.103,0,0
6,50,116,0.191,0,0
6,52,116,0.246,0,0
6,54,116,0.22,0,0
6,56,116,0.138,0,0
6,58,116,0.06,0,0
6,60,116,0.018,0,0
4,48,116,0.015,0,0
4,50,116,0.028,0,0
4,52,116,0.036,0,0
4,54,116,0.032,0,0
4,56,116,0.02,0,0
4,58,116,0.009,0,0
30,34,104,0.014,0,0
30,36,104,0.028,0,0
30,38,104,0.041,0,0
30,40,104,0.041,0,0
30,42,104,0.028,0,0
30,44,104,0.014,0,0
28,30,104,0.007,0,0
28,32,104,0.031,0,0
28,34,104,0.092,0,0
28,36,104,0.189,0,0
28,38,104,0.271,0,0
28,40,104,0.271,0,0
28,42,104,0.189,0,0
28,44,104,0.092,0,0
28,46,104,0.031,0,0
26,28,104,0.006,0,0
26,30,104,0.034,0,0
26,32,104,0.144,0,0
26,34,104,0.426,0,0
26,36,104,0.876,0,0
26,38,104,1.256,0,0
26,40,104,1.256,0,0
26,42,104,0.876,0,0
24,28,104,0.018,0,0
24,30,104,0.11,0,0
24,32,104,0.466,0,0
24,34,104,1.375,0,0
24,36,104,2.828,0,0
24,38,104,4.057,0,0
24,40,104,4.057,0,0
22,28,104,0.041,0,0
22,30,104,0.248,0,0
22,32,104,1.049,0,0
22,34,104,3.095,0,0
22,36,104,6.368,0,0
22,38,104,9.134,0,0
22,40,104,9.134,0,0
20,26,104,0.007,0,0
20,28,104,0.064,0,0
20,30,104,0.389,0,0
20,32,104,1.646,0,0
20,34,104,4.858,0,0
20,36,104,9.995,0,0
20,38,104,14.337,0,0
18,26,104,0.008,0,0
18,28,104,0.07,0,0
18,30,104,0.426,0,0
18,32,104,1.802,0,0
18,34,104,5.317,0,0
18,36,104,10.939,0,0
18,38,104,15.69,0,0
16,26,104,0.006,0,0
16,28,104,0.053,0,0
16,30,104,0.325,0,0
16,32,104,1.375,0,0
16,34,104,4.057,0,0
16,36,104,8.346,0,0
16,38,104,11.971,0,0
14,28,104,0.028,0,0
14,30,104,0.173,0,0
14,32,104,0.731,0,0
14,34,104,2.158,0,0
14,36,104,4.439,0,0
14,38,104,6.368,0,0
12,28,104,0.011,0,0
12,30,104,0.064,0,0
12,32,104,0.271,0,0
12,34,104,0.8,0,0
12,36,104,1.646,0,0
12,38,104,2.361,0,0
10,30,104,0.017,0,0
10,32,104,0.07,0,0
10,34,104,0.207,0,0
10,36,104,0.426,0,0
10,38,104,0.611,0,0
10,40,104,0.611,0,0
8,32,104,0.013,0,0
8,34,104,0.037,0,0
8,36,104,0.077,0,0
8,38,104,0.11,0,0
8,40,104,0.11,0,0
6,36,104,0.01,0,0
6,38,104,0.014,0,0
6,40,104,0.014,0,0
6,42,104,0.01,0,0
