x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,144,0.167080631635716,0,0
0,2,422,0.665822097595253,0,0
0,4,561,1.8127094637328,0,0
0,6,561,3.52208377232856,0,0
0,8,561,4.99764338278314,0,0
0,10,778,5.35453276702043,0,0
0,12,1150,4.60952244243097,0,0.002
0,14,1877,3.95064038728755,0,0.009
0,16,2537,5.5534981668535,0,0.025
0,18,3496,11.7650722263424,0.001,0.03
0,20,4866,22.3604009056703,0.004,0.028
0,22,7122,32.8442052778194,0.006,0.024
0,24,15161,39.6277553838829,0.005,0.017
0,26,23172,47.9487501641009,0.002,0.01
0,28,27159,69.8739734044194,0.001,0.008
0,30,30391,118.680991835499,0.003,0.01
0,32,39206,195.919390600314,0.013,0.015
0,34,45918,275.675855561614,0.042,0.019
0,36,43597,316.536481050724,0.088,0.024
0,38,43409,316.870249351979,0.132,0.029
0,40,42805,318.460923410067,0.175,0.031
0,42,40889,332.309925760226,0.223,0.029
0,44,41303,313.306887091341,0.217,0.027
0,46,38608,236.19275409134,0.126,0.025
0,48,25587,139.559744990948,0.04,0.024
0,50,23668,73.3387583442115,0.008,0.023
0,52,21536,47.8498744370222,0.003,0.02
0,54,19115,45.4544195303984,0.003,0.019
0,56,5647,45.753089915015,0.004,0.021
0,58,4136,40.5316766714578,0.005,0.03
0,60,3626,31.7674766342867,0.004,0.041
0,62,2524,24.6670022970257,0.003,0.045
0,64,2407,19.4423328660356,0.001,0.035
0,66,1681,13.6680822547095,0,0.022
0,68,985,7.55692004498056,0,0.013
0,70,569,3.14094726491155,0,0.007
0,72,431,1.01990204870963,0,0.003
0,74,306,0.303166687752552,0,0
0,76,306,0.0963756814466419,0,0
0,78,124,0.0274489879911762,0,0
0,80,124,0.00722582416366828,0,0
2,0,422,0.421770653269666,0,0
2,2,561,1.62656321282683,0,0
2,4,561,4.44323343844402,0,0
2,6,561,8.74710152882198,0,0
2,8,561,12.7301775662426,0,0
2,10,1055,14.2116635075616,0,0
2,12,2024,12.8344886089553,0,0.001
2,14,2716,10.8777153483603,0,0.006
2,16,3643,13.3180131052399,0.001,0.018
2,18,5416,25.9483276669104,0.004,0.024
2,20,8182,49.3196021567043,0.011,0.022
2,22,11452,74.7250985932094,0.018,0.018
2,24,25534,94.6258481322457,0.014,0.014
2,26,29494,117.863783354434,0.006,0.009
2,28,34842,174.668006578913,0.006,0.008
2,30,39813,302.85929453491,0.017,0.01
2,32,52187,511.833616816298,0.064,0.012
2,34,52200,728.534723257574,0.188,0.015
2,36,52999,836.830562135705,0.376,0.019
2,38,51979,828.286354412018,0.579,0.023
2,40,52192,819.735206602862,0.872,0.025
2,42,49916,849.04625380133,1.283,0.026
2,44,48498,801.053783748273,1.349,0.025
2,46,45669,606.653266137871,0.811,0.024
2,48,36749,361.253205384036,0.265,0.025
2,50,28807,190.055284358971,0.058,0.026
2,52,25205,119.597200895697,0.02,0.026
2,54,22004,105.516887139901,0.019,0.023
2,56,12888,100.679255998616,0.024,0.026
2,58,6041,85.8543436313895,0.029,0.037
2,60,4012,65.3824689501541,0.03,0.054
2,62,3268,48.8356046561938,0.023,0.062
2,64,2825,36.7888706622825,0.01,0.052
2,66,2454,25.1113069231891,0.002,0.034
2,68,1681,13.867265032413,0,0.019
2,70,706,6.08230009919365,0,0.01
2,72,431,2.37983417274895,0,0.004
2,74,306,0.988022803360883,0,0
2,76,306,0.416586465031849,0,0
2,78,124,0.14168555779166,0,0
2,80,124,0.0372980937389352,0,0
4,0,561,0.763965480760091,0,0.001
4,2,700,2.92621260015401,0,0
4,4,700,7.9986740565234,0,0
4,6,840,15.9316421378628,0,0
4,8,840,23.8050453960686,0,0
4,10,1642,27.7602341455131,0,0
4,12,2437,26.3839093033455,0,0.001
4,14,3478,22.8291371200725,0,0.004
4,16,5258,25.8884386111956,0.001,0.012
4,18,7871,47.0136008527663,0.005,0.016
4,20,11306,89.5613021685193,0.017,0.016
4,22,14707,140.874616068763,0.027,0.013
4,24,31195,187.792619509106,0.023,0.01
4,26,37826,241.987027988557,0.018,0.008
4,28,41161,355.837174499164,0.029,0.008
4,30,44924,603.804534814577,0.074,0.01
4,32,58480,1007.67422911673,0.211,0.011
4,34,60757,1425.1763554807,0.525,0.013
4,36,62276,1628.64815348488,0.972,0.015
4,38,62962,1599.55330179654,1.512,0.018
4,40,62167,1563.07952523412,2.484,0.021
4,42,59223,1600.52464903579,3.959,0.023
4,44,56084,1503.97734828928,4.327,0.023
4,46,51658,1144.49263123061,2.658,0.024
4,48,42264,692.796036700638,0.912,0.026
4,50,32237,373.735976496335,0.242,0.031
4,52,30148,233.769194465228,0.098,0.032
4,54,26206,194.072692994542,0.067,0.028
4,56,16277,174.509896628811,0.074,0.029
4,58,7416,143.003228802191,0.097,0.042
4,60,5889,104.806609232328,0.109,0.065
4,62,4585,73.6178330197987,0.082,0.08
4,64,3439,51.5264476523961,0.035,0.072
4,66,2738,33.5445095404587,0.008,0.05
4,68,1959,18.7896421228757,0.001,0.028
4,70,988,9.47074138202039,0,0.012
4,72,707,5.05172939251551,0,0.003
4,74,306,2.8533141767853,0,0
4,76,306,1.40075069272432,0,0
4,78,124,0.509877275049165,0,0
4,80,124,0.134222927844915,0,0
6,0,561,1.12417396154289,0,0.003
6,2,700,4.15648273909068,0,0.001
6,4,840,11.1876607773328,0,0.001
6,6,840,22.2839340317667,0,0
6,8,840,33.8932353442854,0,0
6,10,1919,40.9879962402115,0,0
6,12,3371,40.9043110338896,0,0
6,14,4438,36.9218877555274,0,0.002
6,16,7052,41.7514970707729,0.001,0.008
6,18,10593,73.5857463736654,0.004,0.011
6,20,14130,140.56143604087,0.014,0.011
6,22,24245,229.252217140225,0.025,0.009
6,24,36998,320.255166579203,0.034,0.008
6,26,41647,423.880376502118,0.058,0.009
6,28,46413,605.011517833947,0.12,0.01
6,30,55939,963.82561989019,0.242,0.01
6,32,64291,1528.07664420071,0.498,0.011
6,34,67341,2101.20793755019,0.979,0.011
6,36,69884,2369.7659580125,1.615,0.012
6,38,70365,2307.60502864095,2.426,0.015
6,40,68315,2222.89463537299,4.036,0.018
6,42,65995,2238.45127577243,6.545,0.021
6,44,61749,2090.95411539202,7.235,0.023
6,46,57808,1610.07125021815,4.541,0.025
6,48,54094,1009.57089402479,1.7,0.029
6,50,36317,574.173382775625,0.597,0.035
6,52,32103,366.08641723363,0.292,0.037
6,54,28708,289.232246716929,0.155,0.031
6,56,25874,245.629395806024,0.132,0.03
6,58,9712,192.995065964962,0.178,0.042
6,60,6983,135.472318406241,0.207,0.067
6,62,5249,88.1886363838786,0.153,0.09
6,64,3815,55.7998810525982,0.062,0.09
6,66,3206,34.1006533016527,0.014,0.066
6,68,2099,20.228153013326,0.002,0.035
6,70,988,13.1296828348048,0,0.012
6,72,844,9.68345239492198,0,0.002
6,74,444,6.57029502862235,0,0
6,76,306,3.43075673415163,0,0
6,78,124,1.27922386466946,0,0
6,80,124,0.336750000220086,0,0
8,0,700,1.6218456590133,0,0.011
8,2,840,5.30346077432696,0,0.006
8,4,979,13.3507700990342,0,0.003
8,6,979,25.727577201667,0,0.001
8,8,1399,38.834426911153,0,0
8,10,2299,47.6372366492109,0,0
8,12,3647,49.2345358020666,0,0.001
8,14,5686,47.1609951877237,0,0.002
8,16,8867,56.9403367665716,0.001,0.006
8,18,11984,101.951383397867,0.003,0.008
8,20,16956,195.3004602336,0.012,0.008
8,22,28247,326.123873444589,0.032,0.008
8,24,39368,473.420213909397,0.077,0.009
8,26,44681,640.153477373349,0.178,0.01
8,28,49296,880.425364695866,0.347,0.011
8,30,58007,1284.17154622281,0.571,0.011
8,32,68642,1870.16162410891,0.877,0.011
8,34,72299,2438.51298166783,1.314,0.01
8,36,73760,2681.29497918483,1.849,0.011
8,38,74091,2576.47678761275,2.55,0.013
8,40,71793,2434.3484154679,3.952,0.016
8,42,69699,2397.00720451058,6.112,0.02
8,44,66864,2230.68830212879,6.701,0.023
8,46,62423,1764.82277259212,4.377,0.026
8,48,56892,1177.26739065832,1.915,0.031
8,50,39456,725.440984517249,0.929,0.037
8,52,34666,478.270875819647,0.533,0.038
8,54,30862,361.554277973472,0.247,0.032
8,56,27192,289.424702152802,0.15,0.028
8,58,12195,218.428541906217,0.182,0.036
8,60,8239,146.985252954686,0.206,0.058
8,62,5941,88.694108205993,0.146,0.085
8,64,4340,50.3347612626808,0.057,0.095
8,66,3481,28.9622333021412,0.012,0.074
8,68,2243,19.4293533754269,0.001,0.035
8,70,1128,16.8103911145413,0,0.009
8,72,706,15.2185178326537,0,0.001
8,74,444,11.1598390542596,0,0
8,76,306,5.95129179951937,0,0
8,78,124,2.2375269471903,0,0
8,80,124,0.589019030029958,0,0
10,0,700,2.69718956069528,0,0.025
10,2,979,7.06375627311475,0.001,0.016
10,4,979,15.175976908863,0.001,0.008
10,6,979,26.5589902767677,0.001,0.004
10,8,1641,38.128767395085,0.001,0.002
10,10,2574,46.0716038568297,0,0.001
10,12,4205,48.5676279013359,0,0.001
10,14,6928,50.0274924393235,0,0.003
10,16,9791,67.281923003662,0.002,0.007
10,18,14570,125.760735565817,0.007,0.009
10,20,19305,241.162472516745,0.022,0.009
10,22,25015,407.558311467144,0.061,0.009
10,24,41891,608.124076858487,0.163,0.01
10,26,47413,835.885816033489,0.371,0.011
10,28,51198,1116.47045635392,0.662,0.012
10,30,55275,1499.04836510585,0.946,0.012
10,32,71426,1980.16897770207,1.188,0.011
10,34,73867,2401.57391229911,1.414,0.009
10,36,76037,2541.52469213606,1.678,0.009
10,38,75736,2395.65411786235,2.086,0.011
10,40,74742,2210.13733122255,2.854,0.015
10,42,72800,2120.45020047306,3.924,0.019
10,44,70174,1978.68915443312,4.185,0.024
10,46,64947,1641.0838160056,2.96,0.027
10,48,54270,1192.19234508483,1.58,0.031
10,50,41849,803.183884051122,0.948,0.035
10,52,36840,546.621340647949,0.589,0.034
10,54,31438,396.927411402057,0.268,0.028
10,56,22224,299.632265553542,0.123,0.022
10,58,13267,216.781230044933,0.113,0.026
10,60,9508,140.060172700274,0.113,0.041
10,62,6380,79.6996378129423,0.073,0.063
10,64,4651,42.2358722524538,0.027,0.075
10,66,3737,24.1271313029824,0.005,0.059
10,68,2757,18.4900125409251,0.001,0.024
10,70,1262,18.6708433072185,0,0.005
10,72,955,18.1059241984844,0,0.001
10,74,559,13.5332767468448,0,0
10,76,444,7.25379800288903,0,0
