x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,20,140,0.012,0,0
0,22,140,0.073,0,0
0,24,140,0.303,0,0
0,26,140,0.878,0,0
0,28,140,1.773,0,0
0,30,140,2.498,0,0
0,32,140,2.454,0,0
0,34,140,1.68,0,0
0,36,140,0.802,0,0
0,38,140,0.267,0,0
0,40,140,0.062,0,0
0,42,140,0.01,0,0
0,48,140,0.016,0,0
0,50,140,0.11,0,0
0,52,140,0.517,0,0
0,54,140,1.699,0,0
0,56,140,3.895,0,0
0,58,140,6.226,0,0
0,60,140,6.937,0,0
0,62,140,5.389,0,0
0,64,140,2.919,0,0
0,66,140,1.102,0,0
0,68,140,0.29,0,0
0,70,140,0.053,0,0
0,72,140,0.007,0,0
2,20,140,0.033,0,0
2,22,140,0.196,0,0
2,24,140,0.817,0,0
2,26,140,2.367,0,0
2,28,140,4.782,0,0
2,30,140,6.737,0,0
2,32,140,6.617,0,0
2,34,140,4.53,0,0
2,36,140,2.163,0,0
2,38,140,0.72,0,0
2,40,140,0.167,0,0
2,42,140,0.027,0,0
2,48,140,0.03,0,0
2,50,140,0.206,0,0
2,52,140,0.971,0,0
2,54,140,3.194,0,0
2,56,140,7.323,0,0
2,58,140,11.704,0,0
2,60,140,13.042,0,0
2,62,140,10.132,0,0
2,64,140,5.487,0,0
2,66,140,2.072,0,0
2,68,140,0.545,0,0
2,70,140,0.1,0,0
2,72,140,0.013,0,0
4,18,140,0.007,0,0
4,20,140,0.062,0,0
4,22,140,0.369,0,0
4,24,140,1.535,0,0
4,26,140,4.449,0,0
4,28,140,8.991,0,0
4,30,140,12.665,0,0
4,32,140,12.439,0,0
4,34,140,8.517,0,0
4,36,140,4.066,0,0
4,38,140,1.353,0,0
4,40,140,0.314,0,0
4,42,140,0.051,0,0
4,48,140,0.04,0,0
4,50,140,0.27,0,0
4,52,140,1.273,0,0
4,54,140,4.187,0,0
4,56,140,9.598,0,0
4,58,140,15.34,0,0
4,60,140,17.094,0,0
4,62,140,13.279,0,0
4,64,140,7.192,0,0
4,66,140,2.716,0,0
4,68,140,0.715,0,0
4,70,140,0.131,0,0
4,72,140,0.017,0,0
6,18,140,0.009,0,0
6,20,140,0.081,0,0
6,22,140,0.484,0,0
6,24,140,2.012,0,0
6,26,140,5.832,0,0
6,28,140,11.784,0,0
6,30,140,16.6,0,0
6,32,140,16.304,0,0
6,34,140,11.163,0,0
6,36,140,5.329,0,0
6,38,140,1.773,0,0
6,40,140,0.411,0,0
6,42,140,0.067,0,0
6,44,140,0.008,0,0
6,48,140,0.036,0,0
6,50,140,0.247,0,0
6,52,140,1.163,0,0
6,54,140,3.826,0,0
6,56,140,8.77,0,0
6,58,140,14.018,0,0
6,60,140,15.62,0,0
6,62,140,12.134,0,0
6,64,140,6.572,0,0
6,66,140,2.481,0,0
6,68,140,0.653,0,0
6,70,140,0.12,0,0
6,72,140,0.015,0,0
8,18,140,0.009,0,0
8,20,140,0.074,0,0
8,22,140,0.442,0,0
8,24,140,1.839,0,0
8,26,140,5.329,0,0
8,28,140,10.768,0,0
8,30,140,15.169,0,0
8,32,140,14.898,0,0
8,34,140,10.201,0,0
8,36,140,4.869,0,0
8,38,140,1.621,0,0
8,40,140,0.376,0,0
8,42,140,0.061,0,0
8,44,140,0.007,0,0
8,48,140,0.023,0,0
8,50,140,0.157,0,0
8,52,140,0.741,0,0
8,54,140,2.437,0,0
8,56,140,5.587,0,0
8,58,140,8.93,0,0
8,60,140,9.951,0,0
8,62,140,7.73,0,0
8,64,140,4.187,0,0
8,66,140,1.581,0,0
8,68,140,0.416,0,0
8,70,140,0.076,0,0
8,72,140,0.01,0,0
10,20,140,0.047,0,0
10,22,140,0.282,0,0
10,24,140,1.171,0,0
10,26,140,3.395,0,0
10,28,140,6.86,0,0
10,30,140,9.663,0,0
10,32,140,9.491,0,0
10,34,140,6.498,0,0
10,36,140,3.102,0,0
10,38,140,1.032,0,0
10,40,140,0.24,0,0
10,42,140,0.039,0,0
10,48,140,0.01,0,0
10,50,140,0.07,0,0
10,52,140,0.329,0,0
10,54,140,1.082,0,0
10,56,140,2.481,0,0
10,58,140,3.966,0,0
10,60,140,4.419,0,0
10,62,140,3.433,0,0
10,64,140,1.859,0,0
10,66,140,0.702,0,0
10,68,140,0.185,0,0
