endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
50,50,414,0.658,0,0.01
50,52,414,2.397,0,0.022
50,54,831,6.336,0,0.046
50,56,831,12.411,0.002,0.091
48,46,277,0.037,0,0
48,48,277,0.211,0,0
48,50,414,0.979,0,0.008
48,52,551,3.416,0,0.019
48,54,691,8.819,0,0.041
48,56,831,17.09,0.003,0.082
48,58,831,26.129,0.024,0.144
48,60,968,33.899,0.085,0.209
46,44,136,0.017,0,0
46,46,277,0.097,0,0
46,48,277,0.388,0,0
46,50,414,1.329,0,0.005
46,52,551,3.856,0,0.015
46,54,691,9.082,0,0.034
46,56,691,16.981,0.002,0.071
46,58,831,25.999,0.018,0.125
46,60,968,34.821,0.064,0.176
46,62,1246,42.301,0.11,0.19
44,42,136,0.011,0,0
44,44,136,0.066,0,0
44,46,277,0.298,0,0
44,48,277,0.96,0,0
44,50,414,2.358,0,0.002
44,52,551,4.737,0,0.007
44,54,691,8.331,0,0.023
44,56,691,13.252,0.001,0.055
44,58,691,19.443,0.007,0.101
44,60,691,27.046,0.024,0.137
44,62,1104,35.032,0.041,0.138
44,64,1523,39.239,0.035,0.113
42,42,136,0.028,0,0
42,44,136,0.174,0,0
42,46,277,0.756,0,0
42,48,277,2.303,0,0
42,50,277,4.982,0,0
42,52,551,7.895,0,0.002
42,54,691,9.733,0,0.008
42,56,691,10.626,0,0.029
42,58,691,12.359,0.001,0.067
42,60,691,16.603,0.004,0.094
42,62,967,22.546,0.008,0.091
42,64,1383,26.204,0.007,0.072
40,40,266,0.019,0,0
40,42,136,0.052,0,0
40,44,136,0.321,0,0
40,46,136,1.383,0,0
40,48,277,4.173,0,0
40,50,277,8.794,0,0
40,52,551,13.05,0,0
40,54,551,13.872,0,0.002
40,56,691,11.25,0,0.008
40,58,691,8.573,0,0.028
40,60,691,8.759,0,0.052
40,62,967,11.368,0.001,0.053
40,64,1370,13.371,0.001,0.044
40,66,1507,12.876,0.002,0.043
38,40,266,0.017,0,0
38,42,136,0.067,0,0
38,44,136,0.413,0,0
38,46,136,1.78,0,0
38,48,136,5.35,0,0
38,50,277,11.227,0,0
38,52,277,16.439,0,0
38,54,551,16.894,0,0
38,56,691,12.394,0,0.001
38,58,691,7.119,0,0.007
38,60,691,4.542,0,0.021
38,62,828,4.569,0,0.028
38,64,1091,5.162,0,0.028
38,66,1370,5.233,0.001,0.046
36,40,136,0.007,0,0
36,42,136,0.06,0,0
36,44,136,0.371,0,0
36,46,136,1.598,0,0
36,48,136,4.801,0,0
36,50,136,10.058,0,0
36,52,277,14.7,0,0
36,54,414,14.997,0,0
36,56,414,10.729,0,0
36,58,691,5.56,0,0.001
36,60,691,2.478,0,0.005
36,62,828,1.557,0,0.013
36,64,952,1.521,0,0.022
36,66,1090,1.753,0,0.06
34,42,136,0.038,0,0
34,44,136,0.232,0,0
34,46,136,1,0,0
34,48,136,3.004,0,0
34,50,136,6.293,0,0
34,52,136,9.19,0,0
34,54,136,9.358,0,0
34,56,273,6.656,0,0
34,58,414,3.341,0,0
34,60,273,1.252,0,0
34,62,413,0.487,0,0
34,64,674,0.363,0,0.019
32,42,136,0.016,0,0
32,44,136,0.101,0,0
32,46,136,0.436,0,0
32,48,136,1.31,0,0
32,50,136,2.745,0,0
32,52,136,4.009,0,0
32,54,136,4.082,0,0
32,56,136,2.898,0,0
32,58,273,1.441,0,0
32,60,273,0.512,0,0
32,62,273,0.149,0,0
32,64,534,0.083,0,0.023
30,44,136,0.031,0,0
30,46,136,0.133,0,0
30,48,136,0.398,0,0
30,50,136,0.835,0,0
30,52,136,1.219,0,0
30,54,136,1.241,0,0
30,56,136,0.881,0,0
30,58,136,0.436,0,0
30,60,136,0.15,0,0
30,62,136,0.036,0,0
30,64,260,0.016,0,0
28,44,136,0.007,0,0
28,46,136,0.028,0,0
28,48,136,0.084,0,0
28,50,136,0.177,0,0
28,52,136,0.258,0,0
28,54,136,0.263,0,0
28,56,136,0.187,0,0
28,58,136,0.092,0,0
28,60,136,0.032,0,0
28,62,136,0.008,0,0
26,48,136,0.012,0,0
26,50,136,0.026,0,0
26,52,136,0.038,0,0
26,54,136,0.039,0,0
26,56,136,0.028,0,0
26,58,136,0.014,0,0
24,72,264,0.048,0,0.014
24,74,264,0.08,0,0.012
24,76,264,0.092,0,0.011
24,78,264,0.074,0,0.009
22,68,140,0.009,0,0.094
22,70,140,0.028,0,0.094
22,72,140,0.059,0,0.094
22,74,264,0.094,0,0.086
22,76,264,0.097,0,0.085
22,78,264,0.07,0,0.084
22,80,140,0.031,0,0.094
20,66,140,0.013,0,0.094
20,68,140,0.055,0,0.094
20,70,140,0.164,0,0.094
20,72,274,0.354,0,0.092
20,74,274,0.524,0,0.09
20,76,274,0.545,0,0.088
20,78,274,0.398,0,0.086
20,80,274,0.206,0,0.082
18,64,140,0.008,0,0.094
18,66,140,0.052,0,0.094
18,68,140,0.223,0,0.094
18,70,274,0.693,0,0.091
18,72,274,1.474,0,0.09
18,74,274,2.203,0,0.088
18,76,274,2.319,0,0.085
18,78,274,1.726,0,0.081
18,80,274,0.913,0,0.076
16,64,140,0.024,0,0.094
16,66,140,0.147,0,0.094
16,68,274,0.659,0,0.091
16,70,274,2.016,0,0.089
16,72,274,4.333,0.001,0.087
16,74,274,6.569,0.003,0.084
16,76,274,7.053,0.003,0.079
16,78,274,5.392,0.002,0.074
16,80,274,2.951,0,0.067
14,64,270,0.063,0,0.071
14,66,404,0.332,0,0.083
14,68,404,1.374,0,0.086
14,70,404,4.175,0.001,0.085
14,72,404,9.077,0.005,0.082
14,74,404,14.045,0.011,0.078
14,76,274,15.515,0.012,0.072
14,78,274,12.301,0.006,0.064
14,80,274,7.036,0.001,0.056
12,62,270,0.053,0,0.013
12,64,270,0.177,0,0.035
12,66,404,0.625,0,0.061
12,68,404,2.162,0,0.076
12,70,404,6.276,0.002,0.079
12,72,404,13.724,0.01,0.075
12,74,404,21.808,0.022,0.069
12,76,404,25.019,0.023,0.061
12,78,274,20.758,0.011,0.053
12,80,274,12.485,0.003,0.043
10,62,270,0.228,0,0.003
10,64,270,0.607,0,0.01
10,66,404,1.373,0,0.027
10,68,404,3.11,0,0.051
10,70,404,7.367,0.002,0.065
10,72,404,15.428,0.01,0.065
10,74,404,25.019,0.02,0.058
10,76,404,29.947,0.021,0.05
10,78,404,26.118,0.011,0.04
10,80,274,16.52,0.003,0.032
8,64,404,1.904,0,0.002
8,66,404,3.504,0,0.007
8,68,404,5.298,0,0.02
8,70,404,8.151,0.001,0.039
8,72,404,13.853,0.004,0.048
8,74,404,21.748,0.009,0.045
8,76,404,26.848,0.01,0.037
8,78,404,24.5,0.005,0.029
8,80,274,16.189,0.001,0.022
6,64,270,4.429,0,0
6,66,404,7.741,0,0.001
6,68,404,9.88,0,0.005
6,70,404,10.407,0,0.014
6,72,404,11.607,0.001,0.027
6,74,404,15.049,0.002,0.031
6,76,404,18.166,0.002,0.026
6,78,404,17.027,0.001,0.02
6,80,404,11.622,0,0.014
4,64,270,7.313,0,0
4,66,404,12.616,0,0
4,68,404,15.359,0,0.001
4,70,404,13.756,0,0.004
4,72,404,10.527,0,0.01
4,74,404,9.183,0,0.016
4,76,404,9.464,0,0.016
4,78,404,8.709,0,0.012
4,80,404,6.033,0,0.009
2,66,404,14.519,0,0
2,68,404,17.464,0,0
2,70,404,14.882,0,0.001
2,72,404,9.508,0,0.002
2,74,404,5.567,0,0.006
2,76,404,4.031,0,0.009
2,78,404,3.296,0,0.008
2,80,404,2.248,0,0.005
0,68,404,14.008,0,0
0,70,404,11.768,0,0
0,72,404,7.057,0,0.001
0,74,404,3.293,0,0.002
0,76,404,1.561,0,0.004
0,78,404,0.957,0,0.004
0,80,404,0.602,0,0.003
48,74,1370,42.888,0.006,0.008
48,76,1093,38.975,0.005,0.008
48,78,956,26.412,0.002,0.007
46,70,1511,33.644,0.007,0.033
46,72,1230,43.173,0.017,0.023
46,74,1230,53.408,0.028,0.021
46,76,1093,51.577,0.024,0.019
46,78,956,36.468,0.01,0.017
46,80,816,18.553,0.002,0.015
44,68,1371,30.37,0.008,0.055
44,70,1371,31.437,0.017,0.048
44,72,1230,43.172,0.046,0.05
44,74,1230,55.739,0.076,0.048
44,76,1093,55.056,0.063,0.043
44,78,956,39.432,0.025,0.038
44,80,816,20.236,0.005,0.032
42,66,1371,24.65,0.005,0.056
42,68,1371,21.526,0.008,0.057
42,70,1371,24.77,0.026,0.081
42,72,1230,36.816,0.073,0.093
42,74,1230,48.672,0.119,0.09
42,76,1093,48.195,0.097,0.082
42,78,956,34.393,0.039,0.072
42,80,816,17.561,0.008,0.061
40,68,1371,12.431,0.006,0.077
40,70,1230,17.165,0.023,0.127
40,72,1230,28.094,0.069,0.14
40,74,1093,38.001,0.112,0.133
40,76,1093,37.696,0.09,0.12
40,78,816,26.789,0.036,0.106
40,80,679,13.598,0.007,0.091
38,68,1093,6.271,0.003,0.108
38,70,1093,11.284,0.012,0.153
38,72,956,20.696,0.037,0.153
