endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
26,4,3318,56.0961862493386,0.001,0.008
26,6,4295,73.5283245114386,0.004,0.012
26,8,5411,91.2620822696218,0.011,0.016
24,0,1709,16.0069915398218,0,0.004
24,2,2127,31.8094266197764,0,0.009
24,4,2763,50.1799507288068,0.003,0.017
24,6,3315,67.5553263543188,0.013,0.028
24,8,4420,81.9237287769647,0.03,0.034
24,10,5678,90.4905255001737,0.038,0.033
24,12,7491,91.9386873830427,0.029,0.025
22,0,1575,13.421741924128,0,0.007
22,2,1987,27.6891540525101,0.001,0.016
22,4,2346,44.7829925346413,0.006,0.029
22,6,2611,60.4566731954783,0.027,0.046
22,8,3724,71.0112121984144,0.06,0.059
22,10,4142,72.6756784966674,0.068,0.06
22,12,5668,65.5413822592628,0.041,0.049
22,14,7875,56.8169630897281,0.015,0.029
20,0,1298,13.1176347628175,0,0.008
20,2,1436,26.9949836913971,0.001,0.017
20,4,1855,42.9203587716755,0.006,0.032
20,6,2334,55.9207321846721,0.029,0.053
20,8,2748,62.1252650139929,0.065,0.071
20,10,3726,58.9262814304941,0.071,0.078
20,12,4414,48.2325486203758,0.039,0.069
20,14,5974,38.5560856429806,0.012,0.044
20,16,7777,38.1559712541642,0.002,0.016
18,0,1298,14.489081035821,0,0.005
18,2,1298,29.3490499626539,0,0.011
18,4,1436,44.8394218000879,0.003,0.023
18,6,1982,54.3792159724773,0.016,0.04
18,8,2339,54.9100860997768,0.035,0.059
18,10,2744,47.2074860690439,0.037,0.071
18,12,3070,35.8267935015398,0.02,0.068
18,14,4728,28.6061996741672,0.005,0.043
18,16,5540,30.7798634861616,0.001,0.015
16,0,955,15.7265378408166,0,0.002
16,2,1298,31.8771896063086,0,0.005
16,4,1298,47.3354486389601,0.001,0.011
16,6,1472,53.3548223234079,0.004,0.021
16,8,1892,47.8702921213444,0.009,0.035
16,10,2160,36.049174332826,0.01,0.048
16,12,2376,25.10809221601,0.005,0.05
16,14,3195,20.8053260034789,0.001,0.03
16,16,4429,24.9341106721105,0,0.01
16,18,4971,36.2472529527997,0,0.004
14,0,676,14.8809995836975,0,0.001
14,2,929,30.5612849764285,0,0.002
14,4,929,45.008131641339,0,0.004
14,6,1194,48.4377081081515,0.001,0.008
14,8,1194,39.355822119826,0.001,0.015
14,10,1604,25.680637534768,0.001,0.024
14,12,1882,15.7532320099009,0.001,0.028
14,14,2160,13.1028057055518,0,0.018
14,16,2855,17.13753737971,0,0.006
14,18,3998,26.3918714253707,0.001,0.004
12,0,676,11.3576168630718,0,0
12,2,676,23.6949169686723,0,0.001
12,4,790,34.982886147706,0,0.001
12,6,917,36.8533107171999,0,0.003
12,8,917,28.2032871238304,0,0.005
12,10,1047,16.4207764151302,0,0.009
12,12,1324,8.61698120682032,0,0.013
12,14,1769,6.63914985979436,0,0.009
12,16,2450,9.1899234403481,0,0.005
12,18,3865,15.4160890938302,0,0.005
10,0,425,6.63069174363775,0,0
10,2,676,14.017373229175,0,0
10,4,676,20.7912257187932,0,0
10,6,676,21.7306542297956,0,0.001
10,8,803,16.1521202602779,0,0.002
10,10,806,8.76865283199491,0,0.003
10,12,936,3.9875261540614,0,0.005
10,14,1370,2.63227746747725,0,0.005
10,16,1954,3.7921338680082,0,0.004
10,18,2930,7.32861577197335,0,0.005
8,0,313,2.86072714546625,0,0
8,2,425,6.09392322054059,0,0
8,4,425,9.07002983362173,0,0
8,6,565,9.46351693698553,0,0
8,8,692,6.94478309805737,0,0
8,10,692,3.6370713602543,0,0.001
8,12,822,1.49250646944898,0,0.002
8,14,859,0.839188240860579,0,0.002
8,16,1266,1.3773531050378,0,0.004
6,0,313,0.891653893834191,0,0
6,2,313,1.90341721426248,0,0
6,4,425,2.84267316265706,0,0
6,6,425,2.96282035040464,0,0
6,8,425,2.16019538321358,0,0
6,10,552,1.11215963677865,0,0
6,12,589,0.434669358551078,0,0
6,14,859,0.300085673613694,0,0.001
6,16,884,0.808489142617681,0,0.002
4,0,212,0.194629634309115,0,0
4,2,212,0.417560544950803,0,0
4,4,313,0.630935537500011,0,0
4,6,212,0.651412371536447,0,0
4,8,212,0.473677161508589,0,0
4,10,212,0.240149260464037,0,0
4,12,350,0.112294062869668,0,0
4,14,617,0.223261206020495,0,0
2,0,212,0.0306756507307245,0,0
2,2,212,0.0657754609016416,0,0
2,4,212,0.0983340996997036,0,0
2,6,212,0.102497846096938,0,0
2,8,212,0.0744896432083415,0,0
2,10,212,0.0377439912298309,0,0
2,12,247,0.0450829348797488,0,0
0,4,109,0.00793284735854444,0,0
0,6,109,0.00822422560582017,0,0
0,8,109,0.00594431420955791,0,0
42,0,7110,113.844033585614,0.01,0.007
42,2,9195,197.584812040157,0.034,0.008
42,4,10029,277.982025809822,0.075,0.01
42,6,12533,333.627569290475,0.129,0.015
40,0,6856,87.0053070999901,0.004,0.005
40,2,8358,158.1131281028,0.015,0.006
40,4,9891,231.169134342525,0.037,0.008
40,6,12324,285.258529226522,0.082,0.014
40,8,14762,314.945157059068,0.195,0.027
40,10,17843,327.87345083726,0.427,0.044
38,0,6298,57.1656783539363,0.001,0.004
38,2,7545,108.348675271019,0.005,0.005
38,4,9768,164.338685077067,0.013,0.007
38,6,11592,210.061484914008,0.04,0.013
38,8,14908,241.490544562366,0.122,0.026
38,10,16885,263.672772322556,0.31,0.044
38,12,21476,285.329904346864,0.571,0.056
36,0,5740,35.9902538674991,0.001,0.004
36,2,6708,69.2375186558645,0.003,0.004
36,4,8598,106.986284279333,0.006,0.006
36,6,10754,141.601613983319,0.017,0.012
36,8,13519,172.541642157031,0.055,0.023
36,10,16026,203.06606731439,0.153,0.037
36,12,19783,236.834332451219,0.298,0.045
36,14,22433,282.431922301749,0.419,0.039
34,0,5018,26.4282644026021,0.001,0.005
34,2,6403,48.9646556747907,0.003,0.005
34,4,7288,73.4867023801474,0.005,0.005
34,6,10010,97.5552361799031,0.008,0.009
34,8,11812,124.480448738933,0.019,0.017
34,10,14183,158.361887892954,0.051,0.026
34,12,16866,200.977647132198,0.103,0.029
34,14,19793,256.658069037933,0.146,0.023
32,0,4045,24.2336272989506,0.001,0.005
32,2,5901,42.5855305758857,0.002,0.004
32,4,6878,60.2069458179003,0.003,0.004
32,6,9382,76.96102654587,0.004,0.006
32,8,10428,99.3925433088812,0.009,0.01
32,10,12794,133.826588951452,0.022,0.014
32,12,15578,181.621209571911,0.045,0.015
32,14,17265,243.10714243506,0.062,0.011
32,16,19395,319.385496096568,0.063,0.006
30,0,2924,24.347954751231,0,0.003
30,2,4492,42.1558715671962,0.001,0.003
30,4,5301,58.1141530778241,0.001,0.003
30,6,7254,72.4335796087748,0.003,0.004
30,8,8469,92.79926004016,0.007,0.006
30,10,11392,125.904244389934,0.022,0.008
30,12,12512,171.617075119046,0.044,0.008
30,14,14320,227.334976743997,0.057,0.006
30,16,16066,292.00401198982,0.049,0.004
28,0,1942,23.3013456064131,0,0.002
28,2,3525,41.4553269278699,0,0.002
28,4,4326,58.7149487839683,0,0.003
28,6,5441,74.3682532642353,0.002,0.005
28,8,6699,93.9893540889871,0.007,0.007
28,10,8288,121.506329346534,0.021,0.008
28,12,10163,155.179376577866,0.04,0.007
28,14,11002,192.105567806612,0.047,0.005
28,16,13767,232.910960241059,0.036,0.003
26,0,1878,20.0215849369756,0,0.002
26,2,2514,37.5021636657183,0,0.004
26,10,6820,109.312088981075,0.021,0.015
26,12,9022,125.561487614577,0.028,0.011
26,14,10385,140.124252075144,0.027,0.007
26,16,11830,157.090427252533,0.018,0.004
24,14,8571,90.4629042836662,0.017,0.014
42,12,22343,378.60785868437,0.673,0.052
42,14,25826,400.149846624691,0.917,0.055
