endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
70,34,2083,18.485,0,0
70,36,1939,20.216,0,0
70,38,1938,24.655,0,0
70,40,2219,28.022,0,0
70,42,2354,29.773,0,0
70,44,2486,32.89,0,0
70,46,2756,38.09,0,0
68,30,1745,30.238,0,0
68,32,1745,29.385,0,0
68,34,1886,27.647,0,0.001
68,36,1661,28.152,0,0.002
68,38,1938,31.334,0,0.002
68,40,2217,33.749,0,0.002
68,42,2493,34.334,0,0.002
68,44,2232,36.338,0,0.001
68,46,2641,42.386,0,0
68,48,2615,51.604,0,0
66,30,1605,34.945,0,0
66,32,1605,36.862,0,0.001
66,34,1469,36.174,0,0.003
66,36,1525,35.468,0,0.006
66,38,1804,37.029,0,0.009
66,40,2078,39.279,0,0.009
66,42,2356,41.321,0,0.007
66,44,2373,45.396,0,0.003
66,46,2641,53.62,0,0.001
66,48,2642,65.288,0,0
66,50,2782,76.265,0,0
64,28,1743,29.81,0,0
64,30,1743,34.883,0,0.001
64,32,1328,39.936,0,0.003
64,34,1469,40.789,0,0.008
64,36,1385,39.4,0.002,0.018
64,38,1804,39.628,0.004,0.027
64,40,1943,41.466,0.005,0.028
64,42,2217,44.112,0.003,0.02
64,44,2097,48.783,0.001,0.009
64,46,2236,56.554,0,0.003
64,48,2503,66.494,0,0.001
64,50,2643,74.769,0,0
62,28,1322,23.705,0,0
62,30,1328,30.576,0,0.002
62,32,1328,37.123,0,0.006
62,34,1469,38.696,0.002,0.018
62,36,1382,37.403,0.009,0.042
62,38,1387,37.297,0.021,0.064
62,40,1664,38.169,0.024,0.068
62,42,1943,38.846,0.013,0.05
62,44,2102,40.569,0.004,0.025
62,46,2101,44.523,0,0.008
62,48,2231,50.023,0,0.002
62,50,2231,54.317,0,0
62,52,2087,53.537,0,0
60,28,1322,16.938,0,0.001
60,30,1044,23.435,0,0.003
60,32,1328,28.945,0,0.012
60,34,1469,30.408,0.004,0.036
60,36,1382,30.291,0.021,0.079
60,38,1385,31.229,0.049,0.119
60,40,1526,31.358,0.057,0.127
60,42,1684,29.062,0.032,0.103
60,44,1823,26.491,0.009,0.059
60,46,1682,26.04,0.001,0.022
60,48,1683,27.795,0,0.005
60,50,1948,30.056,0,0.001
60,52,1808,30.137,0,0
58,28,1322,12.428,0,0.001
58,30,1044,16.766,0,0.005
58,32,1184,19.472,0,0.019
58,34,1328,20.067,0.005,0.058
58,36,1244,21.077,0.024,0.123
58,38,1385,23.193,0.057,0.172
58,40,1405,23.207,0.065,0.185
58,42,1546,19.44,0.037,0.165
58,44,1823,14.654,0.01,0.114
58,46,1399,12.079,0.001,0.051
58,48,1539,12.613,0,0.012
58,50,1539,15.392,0,0.002
58,52,1807,18.207,0,0
56,28,1183,12.493,0,0.001
56,30,1185,14.456,0,0.004
56,32,1044,13.705,0,0.02
56,34,1046,12.209,0.003,0.072
56,36,1100,12.606,0.013,0.154
56,38,980,14.452,0.032,0.207
56,40,1121,14.514,0.037,0.221
56,42,1402,11.369,0.021,0.211
