endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
64,48,20230,259.137261960068,0.121,0.017
64,50,21261,272.417265987215,0.207,0.024
64,52,21386,296.055408216028,0.341,0.03
64,54,22722,341.338182485608,0.453,0.031
64,56,22913,404.508388112515,0.524,0.027
64,58,23126,462.450715650779,0.566,0.024
64,60,24321,494.032742637758,0.611,0.022
62,46,16575,230.182003056908,0.075,0.015
62,48,19049,244.184114446362,0.131,0.019
62,50,19901,263.041012205037,0.254,0.025
62,52,20045,288.396135076288,0.399,0.031
62,54,21488,323.887846160637,0.468,0.031
62,56,21718,364.260496636223,0.476,0.028
62,58,21480,393.795923171304,0.494,0.026
62,60,21366,402.903463066222,0.537,0.027
62,62,21936,400.33849367639,0.565,0.029
60,44,14409,200.677565042248,0.056,0.016
60,46,16801,207.347408089098,0.072,0.017
60,48,17575,230.19074477954,0.129,0.018
60,50,18124,263.543242345693,0.242,0.02
60,52,18603,298.062571720139,0.344,0.022
60,54,19125,329.199224701907,0.361,0.022
60,56,19955,352.400668372574,0.354,0.021
60,58,19817,356.393243475396,0.41,0.022
60,60,20406,337.959003583138,0.495,0.027
60,62,20528,314.083551468325,0.492,0.032
60,64,21194,305.34126740017,0.363,0.03
58,42,12071,199.605513010558,0.066,0.02
58,44,13775,184.043974244191,0.077,0.024
58,46,15544,190.437383576387,0.086,0.022
58,48,15362,222.143249167952,0.117,0.017
58,50,16493,270.228972110432,0.173,0.014
58,52,16710,316.572893770703,0.207,0.012
58,54,16739,350.521219230583,0.202,0.011
58,56,18332,367.974630316106,0.22,0.011
58,58,19225,358.776991873484,0.312,0.014
58,60,19848,321.154726732678,0.407,0.019
58,62,20261,278.355493313726,0.382,0.026
58,64,20563,258.670519196232,0.247,0.024
56,42,11627,191.818104633864,0.103,0.031
56,44,12686,173.975327975311,0.116,0.036
56,46,14417,180.304363203475,0.108,0.029
56,48,14232,215.849026627062,0.101,0.017
56,50,14472,270.606307949907,0.098,0.009
56,52,15005,322.824706412471,0.089,0.006
56,54,16178,358.063469868103,0.08,0.005
56,56,16612,372.463278059459,0.104,0.005
56,58,18498,359.307649312844,0.172,0.006
56,60,18248,318.402587459028,0.23,0.01
56,62,18780,272.59227992889,0.209,0.014
56,64,18753,249.849555885306,0.132,0.013
56,66,17951,258.398139969034,0.085,0.009
54,42,11754,176.004933574308,0.163,0.048
54,44,12423,160.457407931121,0.165,0.051
54,46,13316,167.453225430135,0.125,0.037
54,48,14075,203.007493292493,0.084,0.018
54,50,13616,256.610167736781,0.054,0.007
54,52,13975,305.100783278423,0.034,0.003
54,54,14134,331.952617203098,0.027,0.002
54,56,15091,336.557184447669,0.037,0.002
54,58,16002,321.658403584741,0.061,0.003
54,60,17732,291.593887641091,0.079,0.004
54,62,17781,260.805813192937,0.073,0.006
54,64,17410,246.120797354119,0.051,0.005
54,66,16063,252.63463133121,0.047,0.004
52,42,11249,150.718502740242,0.193,0.065
52,44,12004,140.624987559426,0.185,0.064
52,46,13048,149.790459288646,0.126,0.041
52,48,13321,184.171157146689,0.072,0.017
52,50,12857,232.450468915544,0.037,0.006
52,52,13372,270.501073196704,0.023,0.003
52,54,12896,281.777055745811,0.027,0.002
52,56,13549,272.058443304864,0.032,0.003
52,58,14152,255.926038921837,0.031,0.003
52,60,15248,241.349484112473,0.026,0.003
52,62,15835,231.416966421932,0.02,0.002
52,64,15100,229.025363933524,0.016,0.002
52,66,13794,235.717455359798,0.022,0.002
50,42,10411,129.482547936977,0.145,0.064
50,44,10674,125.312704160773,0.135,0.06
50,46,11419,134.823346287748,0.093,0.037
50,48,12053,164.062726280416,0.055,0.016
50,50,12523,202.874843902417,0.032,0.007
50,52,12372,229.002856495735,0.038,0.006
50,54,11577,228.665487494896,0.069,0.008
50,56,12198,211.969227617603,0.091,0.011
50,58,12198,198.496352389892,0.081,0.011
50,60,12967,195.492213067899,0.05,0.007
50,62,13108,198.377664267802,0.022,0.004
50,64,12805,203.096374198882,0.01,0.002
50,66,11655,210.188669786901,0.014,0.002
48,42,9468,125.831536011682,0.072,0.042
48,44,10008,125.0864882222,0.069,0.04
48,46,10513,129.103151252315,0.056,0.029
48,48,10810,145.7133248068,0.041,0.018
48,50,11750,170.323617554558,0.036,0.013
48,52,12195,187.761776016796,0.074,0.015
48,54,11716,187.992420822885,0.169,0.022
48,56,12056,178.498124847723,0.256,0.03
48,58,12184,173.288226243482,0.251,0.029
48,60,12499,175.70050974076,0.159,0.018
48,62,12333,180.063939854739,0.063,0.008
48,64,11936,183.049755427522,0.019,0.003
48,66,11112,186.707404672978,0.02,0.003
46,42,8392,138.282608128773,0.036,0.02
46,44,8785,138.100513461412,0.047,0.023
46,46,9574,132.677215747237,0.06,0.026
46,48,10065,133.316255288587,0.062,0.027
46,50,11349,143.358476230885,0.063,0.026
46,52,11665,156.917133706107,0.136,0.031
46,54,12141,166.854274909929,0.332,0.042
46,56,11938,172.359219739623,0.532,0.051
46,58,11752,176.629337348748,0.531,0.046
46,60,11712,179.677921937922,0.334,0.03
46,62,11712,178.839783930073,0.132,0.014
46,64,11506,174.289674886032,0.037,0.006
44,44,7985,153.13702590752,0.054,0.018
44,46,8204,140.5819715966,0.094,0.03
44,48,8718,129.667369685855,0.113,0.039
44,50,9286,129.720036211742,0.111,0.041
44,52,10164,141.649846386965,0.189,0.044
44,54,10359,159.591928367991,0.432,0.052
44,56,10828,175.623258057259,0.679,0.058
44,58,10349,184.878698766614,0.664,0.051
44,60,10254,185.75943735883,0.414,0.033
44,62,10624,178.346126824757,0.165,0.016
42,46,7683,144.931927972686,0.103,0.031
42,48,7484,130.468460283413,0.136,0.044
42,50,8429,125.862424505021,0.132,0.046
42,52,8614,134.306669301277,0.172,0.044
42,54,9017,150.888843835934,0.328,0.047
42,56,9340,166.857915516049,0.486,0.05
42,58,9438,176.230631404058,0.47,0.043
42,60,9103,176.133763579041,0.298,0.028
40,50,7771,124.332578946502,0.106,0.036
40,52,8026,127.503349465953,0.11,0.033
40,54,8752,135.136369557183,0.152,0.033
40,56,8022,143.821103392773,0.201,0.034
40,58,7920,152.459107161874,0.197,0.029
36,56,6385,100.86701233302,0.021,0.012
36,58,6701,114.804763520751,0.015,0.007
36,60,6285,137.312411550731,0.011,0.003
36,62,6198,147.953462375477,0.005,0.001
34,52,5709,89.4308670740718,0.039,0.014
34,54,5785,80.7222782226246,0.029,0.015
34,56,5743,80.2585367624256,0.013,0.01
34,58,5820,97.0094355544614,0.005,0.005
34,60,5785,124.370760201366,0.002,0.001
34,62,5810,142.460164500188,0.001,0
34,64,5594,137.650415234408,0.001,0
34,66,5281,113.145662047666,0.001,0
32,50,4802,73.0655378607941,0.018,0.01
32,52,5409,63.4848359314491,0.022,0.015
32,54,5609,55.9063908804689,0.016,0.016
32,56,5185,57.9646025586103,0.007,0.011
32,58,5186,74.0328369602644,0.002,0.004
32,60,5258,98.7789111712259,0,0.001
32,62,4728,118.778019589641,0,0
32,64,4979,122.320564605237,0,0
32,66,4561,106.573760171353,0,0
32,68,3907,80.6247997465902,0,0
30,48,3326,63.2141697590132,0.008,0.008
30,50,3729,52.1752440479361,0.006,0.008
30,52,4221,40.9745263182287,0.007,0.013
30,54,4493,35.9222468387499,0.005,0.014
30,56,4481,40.2681262209622,0.002,0.008
30,58,4205,52.8558615004868,0.001,0.003
30,60,3868,69.974724215554,0,0.001
30,62,3834,86.9405917680143,0,0
30,64,3635,97.2138597258194,0,0
30,66,3504,93.4605916376028,0,0
30,68,3603,75.9568860710926,0,0
28,46,2502,54.8172221011776,0.014,0.013
28,48,2502,46.2322123992111,0.004,0.007
28,50,3184,34.465982092895,0.001,0.006
28,52,3305,25.2864275993872,0.001,0.008
28,54,3580,23.8788608861962,0.001,0.008
28,56,3923,30.0753922771385,0,0.005
28,58,3738,39.1929943980322,0,0.002
28,60,3323,48.6648727642437,0,0
28,62,3032,60.3786501515378,0,0
28,64,3538,73.1444189530273,0,0
28,66,3484,78.1880584275227,0,0
28,68,3457,69.4416085769503,0,0
28,70,3441,53.1530695318726,0,0
26,46,2083,34.7765023172523,0.006,0.011
26,48,2217,27.8078039999774,0.001,0.005
26,50,2217,19.6399356887186,0,0.004
26,52,2983,15.1640521760895,0,0.004
26,54,3026,17.735523152269,0,0.003
26,56,3411,25.5785060263025,0,0.001
26,58,3447,32.7149344412749,0,0.001
26,60,3034,36.8750773095626,0,0
26,62,2757,42.7876867954195,0,0
26,64,2832,52.855324965189,0,0
26,66,3110,60.3140185871471,0,0
26,68,3466,57.7136769098923,0,0
26,70,3056,46.6294620547586,0,0
24,46,1940,16.7434570295687,0.001,0.008
24,48,1799,12.8899185883364,0,0.004
24,50,2195,9.35419294651411,0,0.002
24,52,2327,9.42861683243581,0,0.001
24,54,2383,15.2643759444981,0,0.001
24,56,2729,24.5227828009299,0,0
24,58,2681,30.8310440637515,0,0
24,60,2642,31.5276299002188,0,0
24,62,2479,31.6618780090594,0,0
24,64,2479,35.8243944115307,0,0
24,66,2575,40.8469201790482,0,0
24,68,3134,41.3090854366929,0,0
24,70,2862,36.3579947317016,0,0
22,46,1103,5.96224154257418,0,0.006
22,48,1382,4.58968154275554,0,0.003
22,50,1499,4.19428784296365,0,0.001
22,52,1358,7.14697538607433,0,0
22,54,1473,15.0615039458978,0,0
22,56,2075,25.4707131477734,0,0
22,58,2171,31.7333583312507,0,0
22,60,1987,30.4301294459753,0,0
22,62,2237,26.1442647855817,0,0
22,64,2464,24.7183894686664,0,0
22,66,2051,26.0884756259972,0,0
22,68,2563,27.2751125714867,0,0
22,70,2652,26.9031927287222,0,0
20,46,1106,1.60222426188682,0,0.004
20,48,1503,1.43812314460228,0,0.001
20,50,1081,2.45056815241735,0,0
20,52,1081,6.70864126583786,0,0
20,54,1426,15.7805863874533,0,0
20,56,1150,27.239636792093,0,0
20,58,1380,34.3647718675813,0,0
20,60,1729,32.9852910088146,0,0
20,62,2208,26.9097151085984,0,0
20,64,2208,22.5065642413173,0,0
20,66,2065,21.4133222192797,0,0
20,68,1660,22.0074386710385,0,0
20,70,1799,23.4705876906329,0,0
18,46,824,0.461349229571512,0,0
18,48,1082,0.635523892605795,0,0
18,50,1329,2.03112914523297,0,0.002
18,52,1189,6.57956761148194,0,0.002
18,54,1035,15.938086441244,0,0.003
18,56,1012,28.0688993609756,0,0.003
18,58,1012,36.482602932105,0,0.003
18,60,1711,36.5223415566824,0,0.003
18,62,1846,31.0314241988514,0,0.002
18,64,1951,26.3129900137684,0,0.001
18,66,1909,24.5982457406563,0,0
18,68,1801,24.6954229073139,0,0
18,70,1555,26.0434356113072,0,0
16,48,914,0.666907301116494,0,0.004
16,50,776,1.91962602381344,0,0.009
16,52,776,6.2500741496231,0,0.011
16,54,897,15.1907244208977,0,0.013
16,56,897,26.9767127294527,0,0.015
