endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
58,62,543,17.229,0,0
58,64,669,15.743,0,0
58,66,669,11.601,0,0
58,68,669,10.272,0,0
58,70,669,14.263,0,0
56,58,544,7.001,0,0
56,60,544,12.732,0,0
56,62,810,16.381,0,0
56,64,810,15.381,0,0
56,66,810,11.858,0,0
56,68,669,10.29,0,0
56,70,669,12.939,0,0
56,72,669,18.356,0,0
56,74,669,22.205,0,0
54,56,534,2.02,0,0.006
54,58,657,4.929,0,0.004
54,60,544,8.907,0,0.003
54,62,684,11.913,0,0.002
54,64,810,12.644,0,0.001
54,66,810,12.259,0,0
54,68,810,12.522,0,0
54,70,669,13.951,0,0
54,72,669,16.275,0,0
54,74,669,17.901,0,0
54,76,529,16.225,0,0
52,56,795,2.036,0,0.027
52,58,657,3.81,0,0.023
52,60,657,6.361,0,0.016
52,62,544,9.101,0,0.009
52,64,810,12.17,0,0.004
52,66,810,15.646,0,0.001
52,68,810,18.082,0,0
52,70,950,17.795,0,0
52,72,809,15.529,0,0
52,74,809,13.03,0,0
52,76,669,10.214,0,0
50,54,672,3.773,0,0.019
50,56,795,3.976,0,0.042
50,58,795,5.869,0.001,0.046
50,60,657,8.325,0.001,0.037
50,62,544,11.362,0.001,0.021
50,64,670,16.077,0,0.008
50,66,810,21.713,0,0.002
50,68,950,24.542,0,0.001
50,70,950,21.77,0,0
50,72,809,15.352,0,0
50,74,669,9.403,0,0
50,76,669,5.534,0,0
50,78,669,3.047,0,0
48,54,672,7.696,0,0.02
48,56,795,7.921,0.002,0.045
48,58,795,11.027,0.005,0.052
48,60,795,14.354,0.006,0.045
48,62,657,17.44,0.004,0.03
48,64,684,21.91,0.001,0.013
48,66,810,26.741,0,0.004
48,68,810,27.582,0,0.001
48,70,810,22.319,0,0
48,72,810,14.049,0,0
48,74,669,7.216,0,0
48,76,529,3.33,0,0
48,78,529,1.468,0,0
46,54,532,11.891,0.001,0.019
46,56,672,11.904,0.004,0.044
46,58,795,16.033,0.011,0.053
46,60,795,19.936,0.014,0.049
46,62,795,22.17,0.009,0.035
46,64,684,24.589,0.003,0.017
46,66,684,26.672,0,0.006
46,68,810,25.024,0,0.002
46,70,670,18.987,0,0
46,72,670,11.916,0,0
46,74,529,6.72,0,0
46,76,529,3.615,0,0
46,78,529,1.751,0,0
44,54,532,14.332,0.001,0.016
