GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,15058055,243265.217
0.03,0,682112,6300.825
0.05,0,301860,2470.821
0.01,0,2909544,37336.171
0.04,0,396521,2946.918
0.02,0,1200289,12400.073
0.14,0,32201,123.223
0.15,0,30390,114.043
0.25,0,11265,42.632
0.29,0,14338,65.772
0.11,0,49757,225.178
0.26,0,13001,55.593
0.13,0,36480,146.242
0.3,0,7291,33.682
0.12,0,46722,225.331
0.24,0,12006,42.735
0.31,0,8055,26.916
0.1,0,68983,321.627
0.23,0,13162,42.271
0.08,0,114829,746.996
0.21,0,20173,92.799
0.28,0,12639,44.382
0.07,0,136032,745.172
0.19,0,26648,98.976
0.09,0,81331,410.527
0.2,0,34050,200.121
0.22,0,13778,44.555
0.18,0,24017,87.99
0.27,0,10037,38.84
0.06,0,239917,1820.945
0.16,0,29543,114.143
0.17,0,40408,214.386
0.01,0.000909090909090909,1042049,24509.891
0.02,0.000909090909090909,640158,12899.139
0.03,0.000909090909090909,346651,6154.994
0.04,0.000909090909090909,202660,3343.173
0.04,0.00181818181818182,154612,3015.172
0.03,0.00181818181818182,256689,5520.527
0.28,0.000909090909090909,2276,36.904
0.3,0.000909090909090909,1579,29.26
0.31,0.000909090909090909,980,20.098
0.27,0.000909090909090909,2273,36.283
0.05,0.000909090909090909,135405,2292.477
0.05,0.00181818181818182,103946,2000.842
0.06,0.000909090909090909,89723,1495.974
0.06,0.00181818181818182,70620,1256.696
0.07,0.000909090909090909,63224,872.229
0.07,0.00272727272727273,39842,754.81
0.07,0.00181818181818182,50066,841.337
0.06,0.00272727272727273,53486,1099.615
0.08,0.00181818181818182,37829,629.017
0.08,0.00272727272727273,27595,523.053
0.07,0.00363636363636364,32966,676.673
0.05,0.00272727272727273,81495,1741.22
0.08,0.000909090909090909,47795,715.264
0.25,0.000909090909090909,3261,46.502
0.29,0.000909090909090909,2207,58.765
0.24,0.000909090909090909,3366,42.897
0.26,0.000909090909090909,2717,53.044
0.3,0.00181818181818182,1076,27.983
0.29,0.00181818181818182,1418,56.87
0.2,0.000909090909090909,6800,155.89
0.23,0.000909090909090909,3989,47.182
0.22,0.000909090909090909,4353,48.787
0.28,0.00181818181818182,1505,36.166
0.31,0.00181818181818182,781,21.106
0.3,0.00363636363636364,579,19.7
0.31,0.00272727272727273,518,18.264
0.3,0.00272727272727273,919,24.563
0.31,0.00363636363636364,373,13.627
0.09,0.00181818181818182,27275,456.77
0.09,0.00272727272727273,20780,386.977
0.09,0.000909090909090909,37007,476.606
0.1,0.00181818181818182,22834,349.536
0.11,0.00363636363636364,10627,201.233
0.1,0.00363636363636364,13885,255.252
0.11,0.00181818181818182,15910,231.755
0.1,0.00272727272727273,19238,341.134
0.09,0.00454545454545455,14913,334.941
0.1,0.000909090909090909,27172,351.746
0.1,0.00454545454545455,13577,277.632
0.09,0.00363636363636364,18513,367.813
0.08,0.00363636363636364,25600,517.438
0.19,0.000909090909090909,6263,85.263
0.26,0.00181818181818182,1560,46.544
0.21,0.000909090909090909,5022,85.138
0.29,0.00272727272727273,1132,45.158
0.28,0.00272727272727273,942,30.474
0.18,0.000909090909090909,6692,80.583
0.26,0.00272727272727273,1100,39.102
0.29,0.00363636363636364,766,41.323
0.11,0.000909090909090909,23217,257.645
0.2,0.00181818181818182,4301,125.814
0.27,0.00181818181818182,1529,35.297
0.17,0.000909090909090909,8699,164.589
0.3,0.00454545454545455,581,25.374
0.31,0.00454545454545455,420,15.741
0.3,0.00636363636363636,273,8.47
0.31,0.00636363636363636,288,13.725
0.25,0.00181818181818182,2159,40.567
0.3,0.00545454545454545,383,12.905
0.31,0.00545454545454545,280,12.721
0.12,0.00181818181818182,14601,234.149
0.12,0.000909090909090909,17741,230.746
0.12,0.00363636363636364,10292,191.772
0.12,0.00272727272727273,11123,209.533
0.11,0.00272727272727273,14281,243.113
0.18,0.00181818181818182,4826,74.74
0.24,0.00272727272727273,1144,26.31
0.15,0.000909090909090909,9928,111.002
0.23,0.00181818181818182,2599,40.072
0.28,0.00363636363636364,584,18.029
0.25,0.00363636363636364,1050,26.965
0.29,0.00454545454545455,507,35.372
0.24,0.00363636363636364,953,27.877
0.28,0.00454545454545455,663,22.224
0.22,0.00181818181818182,2804,41.652
0.27,0.00272727272727273,1114,27.326
0.3,0.00818181818181818,345,9.679
0.31,0.00818181818181818,113,6.073
0.25,0.00272727272727273,1512,32.126
0.28,0.00545454545454545,479,11.889
0.3,0.00727272727272727,313,11.192
0.17,0.00181818181818182,6066,131.069
0.24,0.00181818181818182,2018,36.833
0.14,0.000909090909090909,12977,136.884
0.31,0.00909090909090909,182,8.423
0.13,0.000909090909090909,13776,154.079
0.16,0.000909090909090909,9657,113.485
0.14,0.00181818181818182,11168,147.113
0.21,0.00272727272727273,2258,58.85
0.23,0.00272727272727273,1946,34.775
0.27,0.00454545454545455,520,18.01
0.26,0.00454545454545455,799,30.811
0.19,0.00181818181818182,4106,72.447
0.29,0.00636363636363636,220,17.386
0.31,0.00727272727272727,183,7.62
0.21,0.00181818181818182,2761,64.953
0.19,0.00272727272727273,3109,66.8
0.24,0.00454545454545455,1207,32.858
0.26,0.00363636363636364,693,29.413
0.2,0.00272727272727273,2725,96.492
0.19,0.00363636363636364,2989,65.124
0.18,0.00363636363636364,3597,65.29
0.19,0.00454545454545455,1870,38.175
0.18,0.00272727272727273,3503,61.532
0.17,0.00272727272727273,4064,94.909
0.16,0.00181818181818182,6402,99.722
0.25,0.00454545454545455,557,16.824
0.24,0.00636363636363636,667,21.682
0.24,0.00545454545454545,1044,28.939
0.23,0.00363636363636364,1370,33.283
0.26,0.00636363636363636,466,17.938
0.26,0.00545454545454545,450,19.664
0.26,0.00727272727272727,258,11.921
0.15,0.00181818181818182,9068,129.35
