endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,18392,274.295973941359,0.053,0.011
52,2,23353,429.916876700282,0.196,0.013
52,4,26520,566.705889077956,0.462,0.014
52,6,29133,660.083979357717,0.819,0.015
52,8,33464,717.097152333482,1.206,0.015
50,0,17790,249.861690724081,0.031,0.007
50,2,22017,385.344276465477,0.117,0.009
50,4,24850,504.470047326702,0.306,0.011
50,6,27805,593.131350885311,0.662,0.014
50,8,31908,659.628703234476,1.19,0.016
50,10,35324,718.452650172158,1.626,0.016
48,0,17359,234.917880584177,0.016,0.004
48,2,20930,365.560617995074,0.07,0.006
48,4,24777,480.569553662416,0.229,0.009
48,6,27929,565.035274142307,0.609,0.013
48,8,31743,626.55340109442,1.251,0.018
48,10,35218,682.604315992934,1.846,0.019
48,12,37261,738.340395750334,1.935,0.015
46,0,16297,231.240062678936,0.009,0.002
46,2,20016,363.491692791815,0.048,0.004
46,4,24416,475.986719281734,0.188,0.007
46,6,27593,550.888058664721,0.552,0.013
46,8,30949,597.672811382635,1.193,0.019
46,10,34565,638.95237558555,1.843,0.021
46,12,36125,691.959416425259,2.03,0.018
46,14,38477,752.495766099192,1.669,0.013
44,0,14215,240.650199396979,0.008,0.002
44,2,18580,372.489688350241,0.045,0.003
44,4,23015,474.707395154797,0.182,0.007
44,6,26547,532.805475000452,0.517,0.013
44,8,29455,563.499730187756,1.078,0.019
44,10,31336,591.252273453419,1.647,0.022
44,12,34950,636.253514337127,1.858,0.02
44,14,36094,704.399579137376,1.623,0.015
42,0,12938,257.260830119523,0.011,0.002
42,2,15873,382.907265544022,0.062,0.004
42,4,20050,467.553468733213,0.228,0.008
42,6,24018,505.917846934733,0.569,0.014
42,8,26920,524.371875000314,1.036,0.02
42,10,29423,545.902538157606,1.432,0.022
42,12,31780,583.421364269929,1.558,0.02
42,14,33857,642.783966804883,1.398,0.016
42,16,34050,709.27663724476,1.088,0.012
40,0,12647,265.484065616329,0.017,0.003
40,2,14879,380.019412956694,0.093,0.006
40,4,18477,448.569176339791,0.312,0.011
40,6,22274,474.012451304303,0.675,0.017
40,8,25232,487.459330493795,1.026,0.02
40,10,27887,508.807114024772,1.199,0.02
40,12,30785,540.866831843943,1.17,0.017
40,14,32816,582.096266231065,1.006,0.014
40,16,32961,625.694023991365,0.78,0.012
38,0,11890,249.696520787074,0.022,0.004
38,2,14133,350.270025533126,0.118,0.008
38,4,17266,411.100892616382,0.368,0.014
38,6,20428,437.855370492215,0.706,0.018
38,8,23664,457.529839344879,0.907,0.019
38,10,26536,485.04687349807,0.883,0.016
38,12,29575,515.630983629949,0.736,0.012
38,14,30918,540.007349779324,0.568,0.01
38,16,30669,558.043863646226,0.423,0.009
36,0,10973,210.111797927539,0.021,0.005
36,2,12722,295.382426325189,0.106,0.009
36,4,14942,354.614820961053,0.313,0.014
36,6,17909,392.255813232724,0.556,0.017
36,8,20520,426.698218454169,0.64,0.015
36,10,24574,466.859702158896,0.543,0.011
36,12,26773,503.123171043702,0.389,0.007
36,14,28636,521.349869486361,0.271,0.006
34,0,9715,164.763180918248,0.012,0.004
34,2,11801,235.724587626733,0.061,0.008
34,4,14054,292.590031624214,0.176,0.012
34,6,15545,337.77808942067,0.303,0.013
34,8,18562,383.313227285379,0.333,0.011
34,10,21199,434.060304763481,0.27,0.007
34,12,24276,479.089594219225,0.198,0.005
34,14,24366,501.702766003645,0.167,0.004
32,0,8063,131.01659992172,0.004,0.003
32,2,10423,190.982785510631,0.023,0.005
32,4,12989,241.599799846011,0.069,0.008
32,6,14269,283.7057098198,0.117,0.009
32,8,16092,326.914855645258,0.13,0.007
32,10,18810,376.549716040442,0.125,0.005
32,12,20356,423.674658970567,0.157,0.005
30,0,7562,109.282869819643,0.002,0.002
30,2,9166,161.004071476732,0.009,0.004
30,4,11464,203.257335194945,0.03,0.007
30,6,12645,235.487131974468,0.055,0.008
30,8,14290,266.920396420607,0.067,0.008
30,10,15651,305.303506972175,0.098,0.007
30,12,18568,346.006880115403,0.211,0.008
28,0,6713,88.1647615300199,0.001,0.004
28,2,8089,131.25443039306,0.01,0.007
28,4,9979,165.518828255781,0.038,0.012
28,6,11735,189.338222697226,0.075,0.016
28,8,13055,210.64658602549,0.091,0.017
14,2,1900,71.5495769467979,0.003,0.002
14,4,2511,91.8080693395364,0.011,0.004
14,6,3214,98.5951437965421,0.019,0.006
14,8,3849,92.379932784003,0.02,0.007
14,10,4304,81.2231448195999,0.013,0.007
14,12,5283,76.6185880132275,0.01,0.01
12,0,1534,47.8473892012909,0,0.001
