endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
14,2,1771,64.8412060219759,0.003,0.003
14,4,2382,81.8323973497201,0.011,0.004
14,6,3085,88.253059383996,0.019,0.006
14,8,3720,84.9048704162538,0.02,0.007
14,10,4175,77.4564330620325,0.013,0.008
14,12,5154,75.2953109656192,0.01,0.01
12,0,1405,43.0853731871979,0,0.001
12,2,1651,59.2846175240527,0.001,0.002
12,4,2031,66.31162570269,0.005,0.004
12,6,2715,65.3708720617998,0.01,0.007
12,8,3160,60.9373543854856,0.011,0.008
12,10,3495,57.6308395624628,0.009,0.009
12,12,4162,61.2642482644633,0.01,0.014
12,14,4767,75.4691159418465,0.029,0.022
10,0,1328,38.3123496251233,0,0.001
10,2,1510,49.2623939515389,0,0.001
10,4,1912,50.6791040835684,0.001,0.003
10,6,2222,46.1297825081641,0.003,0.005
10,8,2574,41.3958598012203,0.004,0.007
10,10,3133,40.5192656376904,0.004,0.009
10,12,3660,46.6958574895194,0.008,0.016
10,14,3798,60.7850807074453,0.025,0.026
10,16,3907,78.098337281518,0.064,0.033
8,0,1328,26.8574616448712,0,0
8,2,1557,34.5048961955042,0,0.001
8,4,1704,35.8548882976291,0,0.002
8,6,1997,33.172714882046,0.001,0.003
8,8,2345,30.2699643531931,0.001,0.004
8,10,2584,30.4959922709223,0.002,0.007
8,12,2940,36.2282439366623,0.004,0.013
8,14,3064,46.9524813357013,0.014,0.022
8,16,3117,58.5142135809089,0.033,0.029
8,18,3250,65.3805670888392,0.044,0.031
6,0,1024,14.757106042693,0,0
6,2,1228,20.7046754398749,0,0
6,4,1459,24.5051882522199,0,0.001
6,6,1822,25.7018678504416,0,0.001
6,8,1927,25.1199742571415,0,0.002
6,10,2177,25.7608103321671,0.001,0.003
6,12,2222,30.2987649784184,0.002,0.007
6,14,2342,37.5315429905274,0.006,0.013
6,16,2448,43.7332602545386,0.012,0.018
6,18,2508,46.3097876610422,0.013,0.02
4,0,629,7.21310475761265,0,0
4,2,830,12.5281237380576,0,0
4,4,1140,18.3552572280843,0,0
4,6,1248,22.1101585163038,0,0
4,8,1518,22.6409573575548,0,0
4,10,1711,22.9504150818261,0,0.001
4,12,1922,26.2517447678353,0.001,0.003
4,14,1815,30.8653088289507,0.002,0.005
4,16,1939,33.1506714501047,0.003,0.008
4,18,2055,32.6674128863395,0.003,0.009
2,0,378,3.92319437192745,0,0
2,2,577,8.67293046169632,0,0
2,4,652,14.784384403735,0,0
2,6,745,19.0095244522959,0,0
2,8,1032,19.4866117396772,0,0
2,10,1120,19.0378350105492,0,0
2,12,1084,20.9024648992042,0,0.001
2,14,1275,23.4414653544913,0,0.001
2,16,1275,23.3746327995313,0.001,0.002
2,18,1757,21.2670779301378,0,0.003
0,0,378,2.34093908733861,0,0
0,2,502,5.83062017432488,0,0
0,4,577,10.4904426247886,0,0
0,6,577,13.6780825338178,0,0
0,8,670,13.8049055440101,0,0
0,10,529,12.9139011328839,0,0
0,12,711,13.5368483127032,0,0
0,14,816,14.5379185106786,0,0
0,16,1082,13.6797327629655,0,0.001
0,18,1149,11.5249203446425,0,0.001
28,0,6354,75.804968390116,0.001,0.004
28,2,7730,114.459580385914,0.01,0.008
28,4,9620,149.608205703139,0.038,0.014
28,6,11510,178.835067797169,0.075,0.017
28,8,12830,205.809927310075,0.091,0.017
28,10,13547,236.731013322493,0.121,0.015
26,0,5075,50.9387172522183,0.002,0.009
26,2,7348,79.935826386287,0.015,0.018
26,4,8488,108.648300082024,0.06,0.028
26,6,9959,134.076036239381,0.123,0.035
26,8,10627,157.462788827535,0.14,0.033
26,10,12032,183.810034189866,0.14,0.026
26,12,12684,213.589335214615,0.246,0.024
24,0,3971,32.5210903567666,0.002,0.017
24,2,5614,55.1292834730941,0.015,0.03
24,4,6564,79.6526667627579,0.061,0.044
24,6,7906,102.260386721956,0.127,0.051
24,8,9783,123.051787113272,0.143,0.046
24,10,10433,146.211219536796,0.122,0.034
24,12,11021,172.645067684096,0.172,0.026
24,14,12338,196.724785863442,0.341,0.028
22,0,3453,26.6511557698376,0.001,0.016
22,2,4354,48.9060366527834,0.009,0.027
22,4,4975,72.5165608166521,0.036,0.038
22,6,6282,91.4208734051991,0.077,0.046
22,8,7523,105.689045941112,0.087,0.042
22,10,8749,121.165571643137,0.071,0.03
22,12,10111,140.557083593027,0.085,0.021
22,14,10494,159.875130382771,0.157,0.02
22,16,10887,175.72323910848,0.243,0.021
20,0,2998,30.2813026823633,0,0.008
20,2,3446,56.7011125099536,0.004,0.013
20,4,4365,82.4830693315519,0.015,0.02
20,6,5292,98.0625938358402,0.032,0.025
20,8,5986,103.249143863753,0.036,0.025
20,10,6981,106.470594966981,0.028,0.019
20,12,8141,114.409889773803,0.029,0.013
20,14,8681,126.79409996405,0.049,0.011
20,16,9205,140.954624859263,0.074,0.011
