endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,857,17.74,0,0
52,2,857,22.298,0,0
52,4,1134,24.67,0,0
52,6,1134,24.999,0,0
52,8,1134,22.069,0,0
50,0,857,21.892,0,0
50,2,857,29.416,0,0
50,4,997,34.851,0,0
50,6,997,36.53,0,0
50,8,997,31.597,0,0
50,10,997,21.393,0,0
48,0,857,23.065,0,0
48,2,857,33.504,0,0
48,4,857,41.929,0,0
48,6,997,44.456,0,0
48,8,997,37.561,0,0
48,10,997,24.039,0,0
48,12,997,11.545,0,0
46,0,857,26.06,0,0
46,2,857,38.574,0,0
46,4,857,47.064,0,0
46,6,857,47.204,0,0
46,8,997,37.533,0,0
46,10,997,22.679,0,0
46,12,997,10.144,0,0
46,14,998,3.373,0,0
44,0,857,33.838,0,0
44,2,857,47.148,0,0
44,4,857,51.581,0,0
44,6,857,45.396,0,0
44,8,857,32.058,0,0
44,10,997,17.693,0,0
44,12,997,7.386,0,0
44,14,857,2.28,0,0
42,0,857,41.271,0,0
42,2,857,54.079,0,0
42,4,857,53.082,0,0
42,6,857,40.252,0,0
42,8,857,24.201,0,0
42,10,857,11.606,0,0
42,12,717,4.359,0,0
42,14,717,1.247,0,0
42,16,587,0.285,0,0
40,0,995,39.762,0,0
40,2,995,50.58,0,0
40,4,995,46.689,0,0
40,6,995,31.899,0,0
40,8,857,16.568,0,0
40,10,717,6.726,0,0
40,12,717,2.169,0,0
40,14,717,0.551,0,0
40,16,447,0.108,0,0
38,0,855,28.267,0,0
38,2,995,35.731,0,0
38,4,995,32.245,0,0
38,6,855,20.962,0,0
38,8,855,9.97,0,0
38,10,855,3.547,0,0
38,12,717,0.968,0,0
38,14,577,0.206,0,0
38,16,306,0.032,0,0
36,0,715,14.814,0,0
36,2,715,18.853,0,0
36,4,715,17.003,0,0
36,6,715,10.902,0,0
36,8,715,4.998,0,0
36,10,715,1.655,0,0
36,12,715,0.403,0,0
36,14,440,0.068,0,0
34,0,625,6.975,0,0
34,2,625,9.079,0,0
34,4,715,8.332,0,0
34,6,715,5.387,0,0
34,8,715,2.457,0,0
34,10,715,0.793,0,0
34,12,625,0.177,0,0
34,14,225,0.022,0,0
32,0,496,6.171,0,0
32,2,496,8.302,0,0
32,4,496,7.807,0,0
32,6,625,5.137,0,0
32,8,496,2.355,0,0
32,10,496,0.755,0,0
32,12,359,0.167,0,0
30,0,496,9.486,0,0
30,2,496,12.879,0,0
