x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,96,0.074,0,0
0,2,96,0.416,0,0
0,4,96,1.638,0,0
0,6,96,4.497,0,0
0,8,96,8.608,0,0
0,10,96,11.488,0,0
0,12,96,10.688,0,0
0,14,189,6.943,0,0
0,16,189,3.151,0,0
0,18,295,1.012,0,0
0,20,295,0.264,0,0
0,22,295,0.151,0,0
0,24,106,0.252,0,0
0,26,106,0.396,0,0
0,28,106,0.433,0,0
0,30,106,0.331,0,0
0,32,106,0.176,0,0
0,34,106,0.065,0,0
0,36,106,0.017,0,0
2,0,96,0.096,0,0
2,2,96,0.545,0,0
2,4,96,2.147,0,0
2,6,96,5.894,0,0
2,8,96,11.283,0,0
2,10,189,15.069,0,0
2,12,189,14.046,0,0
2,14,189,9.167,0,0
2,16,189,4.228,0,0
2,18,295,1.45,0,0
2,20,295,0.521,0,0
2,22,295,0.563,0,0
2,24,199,1.084,0,0
2,26,106,1.676,0,0
2,28,106,1.834,0,0
2,30,106,1.4,0,0
2,32,106,0.744,0,0
2,34,106,0.276,0,0
2,36,106,0.071,0,0
2,38,106,0.013,0,0
4,0,96,0.088,0,0
4,2,96,0.498,0,0
4,4,96,1.962,0,0
4,6,96,5.386,0,0
4,8,189,10.325,0,0
4,10,189,13.824,0,0
4,12,189,13.001,0,0
4,14,189,8.731,0,0
4,16,295,4.405,0,0
4,18,295,1.937,0,0
4,20,295,1.17,0,0
4,22,295,1.68,0,0
4,24,199,3.236,0,0
4,26,199,4.967,0,0
4,28,106,5.413,0,0
4,30,106,4.13,0,0
4,32,106,2.197,0,0
4,34,106,0.815,0,0
4,36,106,0.211,0,0
4,38,106,0.038,0,0
6,0,96,0.056,0,0
6,2,96,0.317,0,0
6,4,96,1.25,0,0
6,6,189,3.44,0,0
6,8,189,6.623,0,0
6,10,189,9.009,0,0
6,12,189,8.903,0,0
6,14,189,6.885,0,0
6,16,295,4.793,0,0
6,18,434,3.413,0,0
6,20,434,2.851,0,0
6,22,434,3.825,0,0
6,24,338,6.824,0,0
6,26,338,10.273,0,0
6,28,338,11.161,0,0
6,30,106,8.497,0,0
6,32,106,4.52,0,0
6,34,106,1.676,0,0
6,36,106,0.433,0,0
6,38,106,0.078,0,0
6,40,106,0.01,0,0
8,0,215,0.031,0,0
8,2,215,0.148,0,0
8,4,215,0.561,0,0
8,6,189,1.547,0,0
