endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
28,8,5534,68.4167037230805,0.002,0.003
28,10,6463,62.1770349360363,0.003,0.004
28,12,7193,64.2543416142005,0.003,0.006
28,14,6950,73.1750221626062,0.004,0.006
28,16,6111,82.817669596291,0.005,0.009
28,18,7086,89.3835327130485,0.009,0.017
26,6,4362,68.0420332057843,0,0
26,8,4879,61.2974750863441,0,0.001
26,10,4981,56.2559902810456,0,0.001
26,12,5221,57.5265643513953,0.001,0.002
26,14,5514,63.0106534918074,0.001,0.002
26,16,5425,69.2787581735601,0.001,0.004
26,18,5629,74.5700961655176,0.002,0.009
26,20,6013,77.8799747114256,0.006,0.021
26,22,6846,79.7924853664873,0.017,0.038
24,4,3315,72.795808060338,0,0
24,6,3450,72.637405279904,0,0
24,8,3913,63.7945782095852,0,0
24,10,4091,56.0784805569508,0,0
24,12,3973,52.9508382271339,0,0
24,14,4553,52.9911147911497,0,0.001
24,16,4781,55.4046365104383,0,0.001
24,18,4958,60.1892037395297,0,0.004
24,20,5463,66.4011866876588,0.001,0.01
24,22,6490,74.443374791343,0.004,0.019
24,24,8247,86.717980670482,0.013,0.032
22,2,2436,57.965547354753,0,0
22,4,2713,72.3670866262212,0,0
22,6,2978,71.6802740410783,0,0
22,8,3131,61.8099146192328,0,0
22,10,2973,51.9803999239024,0,0
22,12,2973,45.2553559569028,0,0
22,14,3544,40.9780293550745,0,0
22,16,4510,40.0329512966025,0,0
22,18,4728,44.0476522815859,0,0.002
22,20,5384,53.8192766682921,0,0.005
22,22,6170,70.7524479832111,0.002,0.011
22,24,8300,96.2043663305479,0.009,0.02
20,2,1962,49.0938562773743,0,0
20,4,1962,60.9372875704782,0,0
20,6,2100,60.3316961919369,0,0
20,8,2227,51.9680491545636,0,0
20,10,2956,43.2928305210156,0,0
20,12,2918,36.5775815825268,0,0
20,14,3304,31.0253994538915,0,0
20,16,3718,27.8829391740833,0,0
20,18,3794,30.6864688725352,0,0.001
20,20,5010,43.1155259190501,0,0.003
20,22,7054,68.5806131469964,0.001,0.007
20,24,8287,107.678341449681,0.008,0.013
18,0,1123,25.3789320616425,0,0
18,2,1267,39.0859326641048,0,0
18,4,1671,47.4543487998207,0,0
18,6,1810,47.3505567434962,0,0
18,8,1948,41.9087241713615,0,0
18,10,2312,36.111157597794,0,0
18,12,2417,31.3697085325761,0,0
18,14,2939,26.4024273013202,0,0
18,16,3502,22.3956208130682,0,0
18,18,3872,24.4699380712335,0,0.001
