endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
48,14,5309,97.962,0.009,0.007
48,16,5171,93.852,0.003,0.003
48,18,4783,80.609,0.001,0.001
48,20,5064,65.787,0,0
46,10,4478,69.735,0.012,0.012
46,12,5025,76.514,0.009,0.01
46,14,5028,80.385,0.004,0.006
46,16,5047,77.683,0.001,0.003
46,18,4919,69.368,0,0.001
46,20,4896,59.442,0,0
46,22,4504,52.89,0,0
46,24,4387,51.938,0,0
44,8,3524,52.451,0.003,0.006
44,10,3672,53.407,0.004,0.008
44,12,4330,57.135,0.002,0.007
44,14,4338,59.879,0.001,0.004
44,16,4786,59.268,0,0.002
44,18,4665,55.486,0,0.001
44,20,4358,50.394,0,0.001
44,22,3942,47.048,0,0.001
44,24,3270,47.311,0,0.001
44,26,3409,49.548,0,0.001
42,6,2561,38.69,0,0.002
42,8,2837,39.611,0.001,0.003
42,10,3243,39.819,0.001,0.004
42,12,3252,41.739,0,0.003
42,14,3664,44.634,0,0.002
42,16,3664,46.214,0,0.001
42,18,3235,45.573,0,0.001
42,20,3242,43.753,0.001,0.002
42,22,2964,42.22,0.001,0.003
42,24,2846,41.68,0.001,0.003
42,26,2425,42.299,0,0.002
42,28,2428,43.724,0,0.001
40,6,2023,33.592,0,0.001
40,8,2578,35.749,0,0.002
40,10,2841,34.442,0,0.002
40,12,3097,34.316,0,0.001
40,14,3235,37.681,0,0.001
40,16,3241,42.389,0,0.001
40,18,3357,45.761,0,0.002
40,20,3219,46.996,0.002,0.003
40,22,2825,45.446,0.003,0.004
40,24,2824,40.952,0.002,0.005
40,26,2149,36.367,0.001,0.003
40,28,2289,35.092,0,0.002
38,6,1741,36.158,0.001,0.002
38,8,2575,37.77,0.001,0.002
38,10,3097,33.903,0.001,0.002
38,12,3097,31.58,0,0.002
38,14,3106,36.184,0,0.001
38,16,2963,46.18,0,0.001
38,18,3213,56.124,0.001,0.002
38,20,3219,61.014,0.002,0.003
38,22,2688,57.475,0.004,0.004
38,24,2272,46.192,0.003,0.005
38,26,2271,33.706,0.001,0.004
38,28,2289,26.677,0,0.002
38,30,2010,24.242,0,0.001
36,4,1603,29.183,0.001,0.002
36,6,1603,37.829,0.002,0.003
36,8,2282,38.495,0.003,0.004
36,10,2679,32.978,0.002,0.004
36,12,2825,29.878,0.001,0.003
36,14,2687,36.822,0,0.002
36,16,2687,52.993,0,0.001
36,18,2432,69.759,0.001,0.002
36,20,2691,77.111,0.002,0.003
36,22,2412,69.916,0.003,0.003
36,24,2272,51.688,0.002,0.004
36,26,2272,32.309,0.001,0.004
36,28,1993,19.889,0,0.003
36,30,1596,14.513,0,0.001
34,4,1345,25.597,0.001,0.003
34,6,1356,33.251,0.002,0.005
34,8,2015,33.923,0.004,0.006
34,10,2134,29.338,0.003,0.006
34,12,2134,27.958,0.001,0.004
34,14,2151,37.694,0.001,0.003
34,16,2018,57.659,0.001,0.003
34,18,2015,77.267,0.001,0.003
34,20,1990,83.939,0.002,0.003
34,22,1858,73.277,0.001,0.003
34,24,1999,51.837,0.001,0.003
34,26,1999,30.36,0,0.003
34,28,1578,15.787,0,0.002
