x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,144,0.026,0,0
0,2,144,0.16,0,0
0,4,277,0.689,0,0
0,6,277,2.07,0,0
0,8,414,4.417,0,0
0,10,558,6.787,0,0
0,12,697,7.682,0,0
0,14,799,6.639,0,0
0,16,799,4.612,0,0.002
0,18,799,2.878,0,0.007
0,20,799,2.02,0,0.02
0,22,662,1.732,0,0.031
0,24,518,1.416,0,0.036
0,26,374,0.895,0,0.037
0,28,241,0.404,0,0.038
0,30,139,0.125,0,0.04
0,32,139,0.028,0,0.04
0,42,109,0.015,0,0
0,44,109,0.076,0,0
0,46,109,0.272,0,0
0,48,109,0.682,0,0
0,50,109,1.193,0,0
0,52,109,1.455,0,0
0,54,109,1.237,0,0
0,56,109,0.733,0,0
0,58,109,0.303,0,0
0,60,109,0.087,0,0
0,62,109,0.018,0,0
2,0,144,0.052,0,0
2,2,144,0.317,0,0
2,4,277,1.377,0,0
2,6,414,4.179,0,0
2,8,664,9.066,0,0
2,10,664,14.29,0,0
2,12,1046,16.905,0,0
2,14,1046,15.561,0,0
2,16,1184,11.754,0,0.002
2,18,1322,8.175,0,0.008
2,20,1216,6.411,0,0.02
2,22,1216,5.825,0.001,0.03
2,24,938,4.808,0.001,0.034
2,26,933,3.035,0,0.036
2,28,806,1.391,0,0.036
2,30,668,0.477,0,0.034
2,32,566,0.141,0,0.025
2,34,566,0.051,0,0.011
2,36,144,0.012,0,0
2,40,109,0.006,0,0
2,42,109,0.046,0,0
2,44,109,0.24,0,0
2,46,109,0.863,0,0
2,48,109,2.164,0,0
2,50,109,3.785,0,0
2,52,109,4.616,0,0
2,54,109,3.924,0,0
2,56,109,2.326,0,0
2,58,109,0.961,0,0
2,60,109,0.277,0,0
2,62,109,0.056,0,0
2,64,109,0.008,0,0
4,0,144,0.072,0,0
4,2,277,0.447,0,0
4,4,520,1.944,0,0
4,6,664,5.982,0,0
4,8,805,13.282,0,0
4,10,944,21.828,0,0
4,12,1046,27.473,0,0
4,14,1322,27.472,0,0
4,16,1322,22.903,0,0.002
4,18,1322,17.795,0.001,0.008
4,20,1461,15.333,0.002,0.019
4,22,1494,14.422,0.004,0.027
4,24,1782,11.949,0.003,0.031
4,26,1464,7.571,0.001,0.032
4,28,1187,3.605,0,0.031
4,30,1049,1.447,0,0.025
4,32,911,0.63,0,0.013
4,34,670,0.321,0,0.004
4,36,427,0.147,0,0
4,38,288,0.051,0,0
4,40,253,0.025,0,0
4,42,109,0.103,0,0
4,44,109,0.53,0,0
4,46,109,1.907,0,0
4,48,109,4.785,0,0
4,50,109,8.37,0,0
4,52,109,10.207,0,0
4,54,109,8.678,0,0
4,56,109,5.143,0,0
4,58,109,2.125,0,0
4,60,109,0.612,0,0
4,62,109,0.123,0,0
4,64,109,0.017,0,0
6,0,144,0.07,0,0
6,2,520,0.446,0,0
6,4,767,1.971,0,0
6,6,908,6.235,0,0
6,8,908,14.49,0,0
6,10,1149,25.515,0,0
6,12,1425,35.17,0,0
6,14,1425,39.028,0,0.001
6,16,1322,36.265,0,0.002
6,18,1461,31.287,0.002,0.007
6,20,1600,28.828,0.005,0.016
6,22,2079,27.483,0.009,0.022
6,24,1973,22.651,0.008,0.026
6,26,1967,14.638,0.004,0.026
6,28,1689,7.782,0.001,0.023
6,30,1412,4.194,0,0.013
6,32,1274,2.643,0,0.005
6,34,1049,1.639,0,0.001
6,36,669,0.81,0,0
6,38,531,0.299,0,0
6,40,397,0.096,0,0
6,42,253,0.17,0,0
6,44,109,0.817,0,0
6,46,109,2.941,0,0
6,48,109,7.377,0,0
6,50,109,12.904,0,0
6,52,109,15.736,0,0
6,54,109,13.378,0,0
6,56,109,7.929,0,0
6,58,109,3.277,0,0
6,60,109,0.944,0,0
6,62,109,0.19,0,0
6,64,109,0.027,0,0
8,0,144,0.047,0,0
8,2,623,0.345,0,0
8,4,767,1.57,0,0
8,6,908,5.256,0,0
8,8,908,13.245,0,0
8,10,1287,25.861,0,0
8,12,1425,39.868,0,0
8,14,1425,49.197,0,0
8,16,1564,50.28,0.001,0.002
8,18,1600,46.87,0.003,0.005
8,20,1935,44.855,0.007,0.011
8,22,2218,42.734,0.011,0.016
8,24,2199,35.371,0.01,0.018
8,26,2093,24.401,0.005,0.017
8,28,1968,15.983,0.001,0.012
8,30,1550,11.89,0,0.005
8,32,1550,9.272,0,0.001
8,34,1549,6.138,0,0
8,36,1084,3.082,0,0
