x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,50,139,0.007,0,0
0,52,139,0.023,0,0
0,54,139,0.054,0,0
0,56,139,0.088,0,0
0,58,139,0.099,0,0
0,60,139,0.079,0,0
0,62,139,0.043,0,0
0,64,139,0.017,0,0
2,48,139,0.008,0,0
2,50,139,0.04,0,0
2,52,139,0.133,0,0
2,54,139,0.309,0,0
2,56,139,0.504,0,0
2,58,139,0.571,0,0
2,60,139,0.452,0,0
2,62,139,0.249,0,0
2,64,139,0.096,0,0
2,66,139,0.026,0,0
4,48,139,0.033,0,0
4,50,139,0.159,0,0
4,52,139,0.532,0,0
4,54,139,1.241,0,0
4,56,139,2.019,0,0
4,58,139,2.291,0,0
4,60,139,1.812,0,0
4,62,139,0.999,0,0
4,64,139,0.384,0,0
4,66,139,0.103,0,0
4,68,139,0.019,0,0
6,46,139,0.013,0,0
6,48,139,0.092,0,0
6,50,139,0.444,0,0
6,52,139,1.486,0,0
6,54,139,3.469,0,0
6,56,139,5.645,0,0
6,58,139,6.405,0,0
6,60,139,5.066,0,0
6,62,139,2.794,0,0
6,64,139,1.074,0,0
6,66,139,0.288,0,0
6,68,139,0.054,0,0
6,70,139,0.007,0,0
8,46,139,0.026,0,0
8,48,139,0.18,0,0
8,50,139,0.865,0,0
8,52,139,2.896,0,0
8,54,139,6.761,0,0
8,56,139,11.003,0,0
8,58,139,12.484,0,0
8,60,139,9.874,0,0
8,62,139,5.445,0,0
8,64,139,2.094,0,0
8,66,139,0.561,0,0
8,68,139,0.105,0,0
8,70,139,0.014,0,0
10,46,139,0.036,0,0
10,48,139,0.245,0,0
10,50,139,1.175,0,0
10,52,139,3.936,0,0
10,54,139,9.187,0,0
10,56,139,14.951,0,0
10,58,139,16.963,0,0
10,60,139,13.417,0,0
10,62,139,7.399,0,0
10,64,139,2.845,0,0
10,66,139,0.762,0,0
10,68,139,0.142,0,0
10,70,139,0.019,0,0
12,10,138,0.015,0,0
12,12,138,0.029,0,0
12,14,138,0.039,0,0
12,16,138,0.037,0,0
12,18,138,0.025,0,0
12,20,138,0.011,0,0
12,46,277,0.044,0,0
12,48,277,0.248,0,0
12,50,277,1.133,0,0
12,52,277,3.744,0,0
12,54,277,8.712,0,0
12,56,139,14.163,0,0
12,58,278,16.075,0,0
12,60,278,12.724,0,0
12,62,278,7.031,0,0.001
12,64,278,2.718,0,0.003
12,66,278,0.74,0,0.007
12,68,278,0.144,0,0.019
12,70,139,0.018,0,0
14,6,138,0.009,0,0
14,8,138,0.036,0,0
14,10,138,0.101,0,0
14,12,138,0.197,0,0
14,14,138,0.267,0,0
14,16,138,0.253,0,0
14,18,138,0.167,0,0
14,20,138,0.077,0,0
14,22,138,0.025,0,0
14,42,138,0.009,0,0
14,44,138,0.032,0,0
14,46,277,0.098,0,0
14,48,277,0.279,0,0
14,50,277,0.881,0,0
14,52,277,2.58,0,0
14,54,277,5.814,0,0
14,56,416,9.394,0,0
14,58,416,10.665,0,0.001
14,60,278,8.496,0,0.003
14,62,278,4.788,0,0.01
14,64,278,1.953,0,0.026
14,66,278,0.609,0,0.063
14,68,278,0.159,0,0.129
14,70,278,0.038,0,0.202
14,72,139,0.007,0,0.292
16,4,138,0.007,0,0
16,6,138,0.042,0,0
16,8,138,0.17,0,0
16,10,138,0.476,0,0
16,12,138,0.927,0,0
16,14,138,1.259,0,0
16,16,138,1.193,0,0
16,18,138,0.788,0,0
16,20,138,0.363,0,0
16,22,138,0.116,0,0
16,24,138,0.026,0,0
16,40,138,0.01,0,0
16,42,138,0.05,0,0
16,44,138,0.171,0,0
16,46,277,0.417,0,0
16,48,277,0.744,0,0
16,50,277,1.117,0,0
16,52,277,1.761,0,0
16,54,416,3.014,0,0.001
16,56,416,4.516,0,0.005
16,58,416,5.155,0,0.013
16,60,416,4.393,0,0.035
16,62,278,2.948,0,0.081
16,64,278,1.713,0,0.152
16,66,278,0.901,0,0.221
16,68,278,0.404,0,0.262
16,70,139,0.134,0,0.292
16,72,139,0.035,0,0.292
16,74,139,0.006,0,0.292
18,4,138,0.024,0,0
18,6,138,0.139,0,0
18,8,138,0.559,0,0
18,10,138,1.564,0,0
18,12,138,3.048,0,0
18,14,138,4.141,0,0
18,16,138,3.923,0,0
18,18,138,2.591,0,0
18,20,138,1.193,0,0
18,22,138,0.383,0,0
18,24,138,0.086,0,0
18,26,138,0.013,0,0
18,40,138,0.038,0,0
18,42,138,0.187,0,0
18,44,138,0.638,0,0
18,46,138,1.517,0,0
18,48,277,2.536,0,0
18,50,277,3.012,0,0
18,52,416,2.71,0,0.001
18,54,416,2.218,0,0.007
18,56,416,2.154,0,0.035
18,58,416,2.54,0,0.096
18,60,416,3.14,0.001,0.174
18,62,278,3.623,0.003,0.237
18,64,278,3.479,0.003,0.27
18,66,278,2.524,0.002,0.284
18,68,278,1.318,0,0.289
18,70,139,0.484,0,0.292
18,72,139,0.125,0,0.292
18,74,139,0.023,0,0.292
20,2,138,0.007,0,0
20,4,138,0.056,0,0
20,6,138,0.32,0,0
20,8,138,1.282,0,0
20,10,277,3.592,0,0
20,12,277,7.004,0,0
20,14,277,9.523,0,0
20,16,277,9.027,0,0
20,18,277,5.967,0,0
