x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
0,0,139,0.13949651364658,0,0
0,2,279,0.707458789760214,0,0.002
0,4,279,2.47504036431911,0,0.003
0,6,279,6.23572034645631,0,0.005
0,8,279,11.5250962842895,0,0.008
0,10,279,15.9610032217171,0.001,0.012
0,12,279,16.8384495628897,0.002,0.017
0,14,279,13.575819116678,0.002,0.021
0,16,279,8.26477810576419,0.001,0.025
0,18,279,3.72241836040514,0,0.027
0,20,279,1.21561296846247,0,0.029
0,22,279,0.283455622178485,0,0.03
0,24,140,0.0457618101399133,0,0.031
2,0,279,0.229720666491684,0,0.001
2,2,279,1.13072781224382,0,0.002
2,4,279,3.95584451966488,0,0.003
2,6,279,9.9665203502562,0,0.005
2,8,279,18.4205032095947,0.001,0.008
2,10,279,25.5103908741112,0.003,0.012
2,12,279,26.9128089316375,0.006,0.017
2,14,279,21.6981631600365,0.006,0.021
2,16,279,13.209553123764,0.003,0.025
2,18,279,5.94952247373127,0.001,0.027
2,20,279,1.94290807077351,0,0.029
2,22,279,0.453045689972588,0,0.03
2,24,140,0.0731408701294944,0,0.031
2,26,140,0.00855141592788487,0,0.031
2,36,144,0.0061476899092006,0,0
2,38,144,0.00835357261932501,0,0
2,40,144,0.00791358690615197,0,0
4,0,279,0.255975158265685,0,0.001
4,2,279,1.25995729994541,0,0.002
4,4,279,4.4079531130575,0,0.003
4,6,279,11.1055816743739,0,0.005
4,8,417,20.5346128136875,0.001,0.008
4,10,417,28.4406114320382,0.004,0.012
4,12,417,30.0055870698674,0.007,0.017
4,14,417,24.1916678713226,0.008,0.021
4,16,417,14.7269201599734,0.004,0.025
4,18,279,6.6294860626906,0.001,0.027
4,20,279,2.16496063896773,0,0.029
4,22,279,0.504823723365429,0,0.03
4,24,140,0.0815000500086265,0,0.031
4,26,140,0.00952874671210861,0,0.031
4,32,144,0.00982582174679019,0,0
4,34,144,0.027469296079554,0,0
4,36,144,0.0535385992669503,0,0
4,38,144,0.0727490461488754,0,0
4,40,144,0.0689173273848075,0,0
4,42,144,0.0455166589053491,0,0
4,44,144,0.0209581598804527,0,0
4,46,144,0.0067278569267222,0,0
6,0,279,0.198854946074154,0,0.001
6,2,279,0.978801000198343,0,0.002
6,4,417,3.43286881792039,0,0.003
6,6,417,8.65651066131485,0,0.005
6,8,417,16.0146788949277,0,0.008
6,10,417,22.1974137011572,0.002,0.012
6,12,417,23.4291956309509,0.005,0.017
6,14,417,18.8894244432186,0.005,0.021
6,16,417,11.4945857077882,0.002,0.025
6,18,417,5.17357901891283,0.001,0.027
6,20,417,1.68825390347745,0,0.029
6,22,279,0.392173580307317,0,0.03
6,24,140,0.0633135190122036,0,0.031
6,26,140,0.00740243087035779,0,0.031
6,30,144,0.0148773963299121,0,0
6,32,144,0.0596574597748558,0,0
6,34,144,0.166779783731058,0,0
6,36,144,0.32505951303397,0,0
6,38,144,0.441695708117585,0,0
6,40,144,0.418431434255645,0,0
6,42,144,0.27635431597553,0,0
6,44,144,0.127247431537372,0,0
6,46,144,0.0408481717173457,0,0
6,48,144,0.00914191220440244,0,0
8,0,139,0.104528811758871,0,0
8,2,417,0.539634829987319,0,0.002
8,4,417,1.90114892320245,0,0.003
8,6,417,4.83122955461955,0,0.005
8,8,417,9.0130952252808,0,0.008
8,10,417,12.5847419474712,0.001,0.012
8,12,417,13.3392017332399,0.001,0.016
8,14,417,10.7539729327949,0.001,0.02
8,16,417,6.51938859822602,0.001,0.023
8,18,417,2.91706900001393,0,0.026
8,20,417,0.945759758521059,0,0.028
8,22,417,0.21903538843509,0,0.029
8,24,140,0.0342906608403076,0,0.031
8,28,144,0.0109488028009708,0,0
8,30,144,0.0629743412720093,0,0
8,32,144,0.252523300984422,0,0
8,34,144,0.705960020493292,0,0
8,36,144,1.37594026895399,0,0
8,38,144,1.86964813227793,0,0
8,40,144,1.77117308401416,0,0
8,42,144,1.16977666120551,0,0
8,44,144,0.538624030839974,0,0
8,46,144,0.172905705341316,0,0
8,48,144,0.0386966836314824,0,0
8,50,144,0.00603780377650226,0,0
10,0,139,0.0394690106750326,0,0
10,2,417,0.236313803728435,0,0.001
10,4,417,0.877036477134233,0,0.002
10,6,417,2.36689233500757,0,0.004
10,8,417,4.69303781855404,0,0.006
10,10,554,6.90379447085199,0,0.008
10,12,554,7.53191561650689,0,0.011
10,14,554,6.08162578242014,0,0.013
10,16,554,3.6063737659102,0,0.016
10,18,554,1.55555232756154,0,0.018
10,20,692,0.490522542663115,0,0.02
10,22,416,0.121530612993014,0,0.02
10,24,278,0.0495531900876589,0,0.008
10,26,138,0.0488508746866172,0,0
10,28,282,0.0777612287340422,0,0
10,30,282,0.215322334356824,0,0
10,32,282,0.758542653689657,0,0
10,34,144,2.08332791241623,0,0
10,36,144,4.06047748444217,0,0
10,38,144,5.51743728724151,0,0
10,40,144,5.22683185524963,0,0
10,42,144,3.45207702821418,0,0
10,44,144,1.58950995123345,0,0
10,46,144,0.510254506908019,0,0
10,48,144,0.114196100044129,0,0
10,50,144,0.0178179001248397,0,0
12,0,277,0.0240384349360724,0,0
12,2,277,0.145626639677836,0,0
12,4,417,0.652450082915825,0,0.001
12,6,554,2.07131878773132,0,0.001
12,8,554,4.691753726655,0,0.001
12,10,554,7.5770040894976,0,0.002
12,12,554,8.69864702424711,0,0.002
12,14,554,7.08721737694828,0,0.003
12,16,554,4.09682596510535,0,0.004
12,18,692,1.6935477175843,0,0.004
12,20,692,0.537036177962776,0,0.005
12,22,553,0.226604516408963,0,0.003
12,24,276,0.247729109344458,0,0
12,26,282,0.326844209782316,0,0
12,28,282,0.363073638643051,0,0
12,30,282,0.57473626325421,0,0
12,32,282,1.6201963429614,0,0
12,34,282,4.31366453149135,0,0
12,36,282,8.36004802125252,0,0
12,38,144,11.351565407844,0,0
12,40,144,10.7536743222926,0,0
12,42,144,7.1022969793066,0,0
12,44,144,3.27025487350239,0,0
12,46,144,1.0497966915197,0,0
12,48,144,0.234946847872507,0,0
12,50,144,0.0366585152069162,0,0
14,0,138,0.0252000918236322,0,0
14,2,277,0.185908617946517,0,0
14,4,414,0.905239168537881,0,0
14,6,554,3.08575991295602,0,0
14,8,693,7.36500694747925,0,0
14,10,693,12.3410237748094,0,0
14,12,693,14.554515100906,0,0
14,14,693,12.1184599123138,0,0
14,16,831,7.16494053749802,0,0
14,18,831,3.06667826467605,0,0
14,20,553,1.11579502749099,0,0
14,22,413,0.763093244791044,0,0
14,24,413,1.11787384431938,0,0
14,26,282,1.46189342202517,0,0
14,28,282,1.44473794400109,0,0
14,30,282,1.42370428097325,0,0
14,32,282,2.59497640422283,0,0
14,34,282,6.27281023621234,0,0
14,36,282,12.0101279891268,0,0
14,38,144,16.2822692104921,0,0
14,40,144,15.4246761593369,0,0
14,42,144,10.1872743780365,0,0
14,44,144,4.69073368510882,0,0
14,46,144,1.50578988302321,0,0
14,48,144,0.336999144150927,0,0
14,50,144,0.0525816301109871,0,0
16,0,138,0.0324387078129734,0,0
16,2,138,0.227521840299728,0,0
16,4,275,1.14761420721333,0,0
16,6,553,4.00325691949624,0,0
16,8,553,9.75390980399444,0,0
16,10,693,16.7893038905989,0,0
16,12,693,20.4968541283317,0,0
16,14,693,17.8725771372371,0,0
16,16,692,11.2399261916933,0,0
16,18,552,5.25847708026902,0,0
16,20,552,2.34273450212846,0,0
16,22,413,2.20528274786297,0,0
16,24,413,3.518395727712,0,0
16,26,419,4.61893933324726,0,0
16,28,282,4.37537335107324,0,0
16,30,282,3.32465466697157,0,0
16,32,282,3.45462428468428,0,0
16,34,421,6.54998369452012,0,0
16,36,421,12.0823474695612,0,0
16,38,421,16.3137423135309,0,0
16,40,422,15.4496023267498,0,0
16,42,422,10.2157601727494,0,0
16,44,422,4.72265609428244,0,0
16,46,283,1.53503352837864,0,0
16,48,416,0.369286915537982,0,0
16,50,416,0.0802384857725807,0,0
16,52,133,0.0169060112269441,0,0
16,54,133,0.0133725025438045,0,0
16,56,133,0.00737437214168379,0,0
16,70,139,0.00801360095063233,0,0
16,72,139,0.00959748185854307,0,0
16,74,139,0.00801360095063233,0,0
18,0,138,0.0291115810980014,0,0
18,2,275,0.215237433876228,0,0
18,4,414,1.10367633633886,0,0
18,6,414,3.93279868942202,0,0
18,8,414,9.95848847994307,0,0
18,10,414,18.0373036338551,0,0
18,12,414,23.5369593810183,0,0
18,14,552,22.2816737576607,0,0
18,16,552,15.4192313714197,0,0
18,18,552,8.08575081641358,0,0
18,20,552,4.27094626013983,0,0
18,22,691,4.73420239691928,0,0
18,24,413,7.76094571795004,0,0
18,26,563,10.2088753571018,0,0
18,28,426,9.54831934705604,0,0
18,30,426,6.5401302343988,0,0
18,32,565,4.33940446086661,0,0
18,34,565,5.21600775727727,0,0
18,36,421,8.64348576418308,0,0
18,38,560,11.5347662430569,0,0
18,40,422,10.9413778354274,0,0
18,42,422,7.31248674513819,0,0
18,44,555,3.51067093707866,0,0
18,46,555,1.30528791891588,0,0
18,48,416,0.471702574171384,0,0
18,50,416,0.244213894065696,0,0
18,52,272,0.167152717467591,0,0
18,54,272,0.113900532900641,0,0
18,56,133,0.0576344759524633,0,0
18,58,133,0.0221582539004452,0,0
18,60,133,0.00593922181018442,0,0
18,66,139,0.0161924701034807,0,0
18,68,139,0.0398989109628356,0,0
18,70,139,0.0685409002839562,0,0
18,72,139,0.0820879466167545,0,0
18,74,139,0.0685409002839562,0,0
18,76,139,0.0398989109628356,0,0
18,78,139,0.0161924701034807,0,0
20,0,278,0.026917272064418,0,0
20,2,689,0.183414586685381,0,0
20,4,689,0.874587056960742,0,0
20,6,689,3.22353236929201,0,0
20,8,549,8.72162035486949,0,0
20,10,549,17.1778865270257,0,0
20,12,414,24.5882735331601,0,0
20,14,552,25.5876650367068,0,0
20,16,691,19.3805050750298,0,0
20,18,691,11.0593290195869,0,0
20,20,691,6.35632783939112,0,0
20,22,835,7.33914696151057,0,0
20,24,835,12.0615515433876,0,0
20,26,558,15.8259008901745,0,0
20,28,565,14.7681139371678,0,0
20,30,565,9.81385851455745,0,0
20,32,565,5.21820232054018,0,0
20,34,565,3.74133133410545,0,0
20,36,704,4.91202187306,0,0
20,38,560,6.38010674836555,0,0
20,40,422,6.21325439182363,0,0
20,42,555,4.54513850696175,0,0
20,44,555,2.80839481936826,0,0
20,46,555,1.80267982079701,0,0
20,48,555,1.34681749835106,0,0
20,50,416,1.10593470350269,0,0
20,52,272,0.894319546996739,0,0
20,54,272,0.616206379067829,0,0
20,56,272,0.322770951226806,0,0
20,58,133,0.120735131025434,0,0
20,60,133,0.0323614273337361,0,0
20,62,133,0.0060473137820532,0,0
20,64,139,0.0273192585218305,0,0
20,66,139,0.0965552785343995,0,0
20,68,139,0.237916169467417,0,0
20,70,139,0.40870760764865,0,0
20,72,139,0.489488292968587,0,0
20,74,139,0.40870760764865,0,0
20,76,139,0.237916169467417,0,0
20,78,139,0.0965552785343995,0,0
20,80,139,0.0273192585218305,0,0
22,0,413,0.1185926093601,0,0
22,2,689,0.299162846559171,0,0
22,4,689,0.879382368011935,0,0
22,6,689,2.8708040043866,0,0
22,8,689,7.99258850606829,0,0
22,10,689,16.7569736170248,0,0
22,12,549,25.517427231303,0,0
22,14,826,27.958679359251,0,0
22,16,691,22.0215132063017,0,0
22,18,691,12.9559881434176,0,0
22,20,835,7.54006095164407,0,0
22,22,974,8.3970806559803,0,0
22,24,836,13.4387938218365,0,0
22,26,697,17.5745340888292,0,0
22,28,843,16.5406748683502,0,0
22,30,843,11.136934167609,0,0
22,32,704,5.76829248068932,0,0
22,34,843,3.41447039256013,0,0
22,36,704,3.79436043870892,0,0
22,38,704,4.97646344527475,0,0
22,40,422,5.38870201627267,0,0
22,42,555,5.10227142856343,0,0
22,44,555,4.85147735132967,0,0
22,46,695,4.74444915920668,0,0
22,48,695,4.46989173296955,0,0
22,50,695,4.03523588562471,0,0
22,52,412,3.37633943872497,0,0
22,54,412,2.35411127342148,0,0
22,56,412,1.23904154824485,0,0
22,58,273,0.464708105089942,0,0
22,60,133,0.122932472495994,0,0
22,62,272,0.0453751492949949,0,0
22,64,139,0.113572359854262,0,0
22,66,139,0.401402213415656,0,0
22,68,139,0.989071529606453,0,0
22,70,139,1.6990903122043,0,0
22,72,139,2.03491396038635,0,0
22,74,139,1.6990903122043,0,0
22,76,139,0.989071529606453,0,0
22,78,139,0.401402213415656,0,0
22,80,139,0.113572359854262,0,0
24,0,414,0.624706262110078,0,0
24,2,818,1.13621523791761,0,0
24,4,818,1.89540196584191,0,0
24,6,818,3.77479713634921,0,0
24,8,818,8.6326133443523,0,0
24,10,956,17.2564488774705,0,0
24,12,1233,25.9753753189571,0,0
24,14,1242,28.2076743999502,0,0
24,16,1332,22.088536962933,0,0
24,18,1201,13.1541620778385,0,0
24,20,1340,7.90499715698775,0,0
24,22,1342,8.22667891310871,0,0
24,24,1066,12.0625793676045,0,0
24,26,1066,15.4795867333871,0,0
24,28,699,15.0830353640774,0,0
24,30,843,11.0377882196921,0,0
24,32,843,6.63905132427652,0,0
24,34,843,4.89653045965586,0,0
24,36,843,6.15379292611058,0,0
24,38,704,8.41827487848097,0,0
24,40,699,9.70966211531782,0,0
24,42,555,10.1528878530758,0,0
24,44,695,10.7954480561355,0,0
24,46,835,11.3523518087884,0,0
24,48,835,11.1817077537877,0,0
24,50,691,10.4537657983352,0,0
24,52,412,8.95698933583626,0,0
24,54,412,6.31886496346369,0,0
24,56,412,3.34144098875548,0,0
24,58,412,1.26600728857197,0,0
24,60,412,0.345703667204326,0,0
24,62,272,0.125769708129227,0,0
24,64,272,0.337093754196136,0,0
24,66,139,1.1633873299019,0,0
24,68,139,2.86663413268054,0,0
24,70,139,4.92448739820637,0,0
24,72,139,5.89780783421469,0,0
24,74,139,4.92448739820637,0,0
24,76,139,2.86663413268054,0,0
24,78,139,1.1633873299019,0,0
24,80,139,0.329167702781665,0,0
26,0,543,2.43179559307305,0,0
26,2,680,4.11510175914163,0,0
26,4,818,5.58178236767211,0,0
26,6,818,7.13470160138036,0,0
26,8,1234,10.688827508613,0,0
26,10,1373,17.4479222346692,0,0
26,12,1373,24.278619291579,0,0
26,14,1463,25.4377959992214,0,0
26,16,1601,19.8806861051275,0,0
26,18,1620,12.9221865745658,0,0.001
26,20,1761,9.5117233634899,0,0.001
26,22,1623,9.96145491660249,0,0.001
26,24,1483,12.4007156685792,0,0.001
26,26,1346,14.9681344939492,0,0
26,28,929,15.6173647402423,0,0
26,30,929,13.2323267040171,0,0
26,32,843,9.5859109694487,0,0
26,34,982,8.23639921098623,0,0
26,36,843,10.6599847343547,0,0
26,38,843,14.5075565912599,0,0
26,40,699,16.6765532132642,0,0
26,42,979,17.401974334085,0,0
26,44,835,18.504241517914,0,0
26,46,835,19.6995435889612,0,0
26,48,691,19.9856076550292,0,0
26,50,691,19.3960196032815,0,0
26,52,691,17.0866952657197,0,0
26,54,552,12.2025864398231,0,0
26,56,412,6.4792454543607,0,0
26,58,412,2.45955833326529,0,0
26,60,412,0.672972075832282,0,0
26,62,412,0.253585992102308,0,0
26,64,272,0.679758469801035,0,0
26,66,139,2.35076773528613,0,0
26,68,139,5.79238818815706,0,0
26,70,139,9.95053477976491,0,0
26,72,139,11.9172488897217,0,0
26,74,139,9.95053477976491,0,0
26,76,139,5.79238818815706,0,0
26,78,139,2.35076773528613,0,0
26,80,139,0.665123983482475,0,0
28,0,543,6.63768628703714,0,0
28,2,823,11.046619807596,0,0
28,4,960,14.0861938298604,0,0
28,6,1792,14.7757056265556,0,0
28,8,1791,14.9690175655929,0,0
28,10,1929,17.3088600672798,0,0
28,12,2019,20.7395857079062,0,0
28,14,2019,21.2239471269756,0,0
28,16,2299,17.9518590409803,0,0.001
28,18,2165,14.8132016123978,0,0.002
28,20,1763,14.7287776673407,0,0.004
28,22,1763,16.4961970806489,0,0.004
28,24,1759,18.4463081976012,0,0.002
28,26,1621,20.6614568896493,0,0.001
28,28,1206,21.9866982412909,0,0
28,30,1344,19.811182941787,0,0
28,32,1067,14.8617584941157,0,0
28,34,976,11.9528055380121,0,0
28,36,981,14.0013628085372,0,0
28,38,983,18.3276873854444,0,0
28,40,979,20.7676061575115,0,0
28,42,835,21.3642911716573,0,0
28,44,691,22.6127423797949,0,0.001
28,46,691,24.5775212542373,0,0.001
28,48,691,26.143912867206,0,0.001
28,50,691,26.7413208995219,0,0.001
28,52,691,24.3668900735852,0,0.001
28,54,552,17.6570516934516,0,0
28,56,552,9.42803114886277,0,0
28,58,412,3.57794046522511,0,0
28,60,412,0.979352208217104,0,0
28,62,412,0.363085557956478,0,0
28,64,272,0.955814950219053,0,0
28,66,139,3.31158523611284,0,0
28,68,139,8.15988194741857,0,0
28,70,139,14.0175669307823,0,0
28,72,139,16.7881262303784,0,0
28,74,139,14.0175669307823,0,0
28,76,139,8.15988194741857,0,0
28,78,139,3.31158523611284,0,0
28,80,139,0.93697677181069,0,0
30,0,923,12.8303146533202,0,0
30,2,1340,21.2808353974664,0,0
30,4,2016,26.873622164503,0,0
30,6,2292,26.7014579026201,0,0
30,8,2070,22.6298541610327,0,0
30,10,2299,19.587790689805,0,0
30,12,2160,19.7961196423658,0,0
30,14,2300,21.0372843196856,0,0.001
30,16,2302,21.1719279980696,0,0.002
30,18,2584,21.7151311694079,0,0.005
30,20,2456,24.3481641969457,0.001,0.008
30,22,2040,27.4755208845563,0.001,0.008
30,24,2040,29.4455107727095,0,0.006
30,26,1899,31.1371558140371,0,0.003
30,28,1761,31.6544882826926,0,0.001
30,30,1482,27.5677987193675,0,0
30,32,1485,19.5917654787151,0,0
30,34,1393,13.6152712971099,0,0
30,36,978,13.3851631091603,0,0
30,38,980,16.3714488426461,0,0
30,40,1394,18.2293075001978,0,0
30,42,835,18.6802121880633,0,0.002
30,44,691,20.2236926170349,0,0.004
30,46,691,23.3766574820999,0,0.005
30,48,691,27.1076176745088,0,0.005
30,50,691,29.7952127444188,0,0.004
30,52,691,28.1483183353448,0,0.002
30,54,552,20.6382969435324,0,0.001
30,56,552,11.0442105451281,0,0.001
30,58,552,4.19558230246128,0,0
30,60,412,1.13987872781567,0,0
30,62,412,0.389864073872482,0,0
30,64,412,0.947371552825294,0,0
30,66,139,3.25239271012794,0,0
30,68,139,8.0140291338056,0,0
30,70,139,13.7670116421105,0,0
30,72,139,16.4880489177691,0,0
30,74,139,13.7670116421105,0,0
30,76,139,8.0140291338056,0,0
30,78,139,3.25239271012794,0,0
30,80,139,0.920228894900311,0,0
32,0,1697,17.9329733916353,0,0
32,2,1974,29.9980114893785,0,0
32,4,2528,38.5368674344074,0,0
32,6,2805,39.0816984297904,0,0
32,8,2805,33.1825021984161,0,0
32,10,2801,27.6187590110311,0,0
32,12,2843,27.6549868780309,0,0.001
32,14,2582,31.6932334092553,0,0.001
32,16,2580,34.7020911778356,0,0.004
32,18,2721,35.8188692265276,0.001,0.008
32,20,2861,37.8598146786561,0.003,0.012
32,22,2870,40.6777393780461,0.004,0.013
32,24,2316,41.964404823991,0.003,0.01
32,26,2177,41.6197307802194,0.001,0.005
32,28,2177,38.9330418458796,0,0.002
32,30,1901,31.4991070586175,0,0.001
32,32,1895,20.8142153933625,0,0
32,34,2175,12.5582615857105,0,0
32,36,1669,9.89071226422259,0,0
32,38,1393,10.70951216526,0,0.001
32,40,1666,11.6285458475965,0,0.002
32,42,1527,12.3837612788207,0,0.007
32,44,1245,14.9506808401707,0.001,0.014
32,46,832,19.9558750124082,0.002,0.018
32,48,691,26.0469969450858,0.002,0.016
32,50,691,30.3564665511519,0.002,0.011
32,52,552,29.0158756332447,0,0.007
32,54,552,21.1540043079546,0,0.004
32,56,552,11.2309750550388,0,0.002
32,58,552,4.24214205122095,0,0.001
32,60,552,1.143872046692,0,0
32,62,412,0.333352449897229,0,0
32,64,412,0.657328139066404,0,0
32,66,278,2.23361583424781,0,0.001
32,68,416,5.50762584336367,0,0.001
32,70,278,9.44834955788746,0,0.001
32,72,278,11.3126944589583,0,0.001
32,74,278,9.44345971146173,0,0.001
32,76,278,5.49603517592777,0,0
32,78,139,2.2269519422539,0,0
32,80,139,0.630091660959291,0,0
34,0,1837,19.8795519038676,0,0
34,2,2394,33.989311719333,0,0
34,4,2949,45.3428768030383,0,0
34,6,2905,48.8863332544021,0,0
34,8,2764,45.5987519321587,0,0
34,10,3267,42.7171755788697,0,0.001
34,12,3456,46.4833284694624,0,0.001
34,14,3356,54.2636078775719,0,0.001
34,16,2952,57.7595450565952,0.001,0.004
34,18,3230,55.4437444776028,0.004,0.009
34,20,2724,53.5836571842759,0.01,0.015
34,22,2877,54.590617743222,0.013,0.016
34,24,2600,54.2443785919836,0.008,0.013
34,26,2741,50.0023568019833,0.002,0.008
34,28,2740,42.1392910374294,0,0.004
34,30,2313,31.2872409396835,0,0.001
34,32,2316,19.8817244414368,0,0.001
34,34,2174,11.6183158149526,0,0.001
34,36,1807,7.83383971861758,0,0.003
34,38,1529,6.85652451731539,0,0.006
34,40,1666,6.81618799778039,0,0.011
34,42,1527,7.98226506034906,0,0.023
34,44,1383,11.9757978758548,0.002,0.035
34,46,1245,18.9013688290463,0.007,0.038
34,48,832,26.2365352092496,0.009,0.032
34,50,691,30.1380309932014,0.006,0.023
34,52,552,27.6160410538892,0.002,0.014
34,54,552,19.3684410342287,0,0.008
34,56,552,10.0188110859749,0,0.004
34,58,413,3.723410035406,0,0.002
34,60,552,0.990234548202313,0,0.001
34,62,550,0.255324488958893,0,0
34,64,556,0.369182190324914,0,0.013
34,66,416,1.16336895826818,0,0.013
34,68,416,2.78038665722574,0,0.012
34,70,416,4.70166587859288,0,0.011
34,72,416,5.58079494733545,0,0.009
34,74,416,4.63313541846107,0,0.008
34,76,278,2.68410078978361,0,0.007
34,78,278,1.08619571495116,0,0.007
34,80,139,0.300782401716662,0,0
36,0,2394,22.9656460406343,0,0
36,2,2810,39.6784822592262,0,0
36,4,3745,54.1413479434118,0,0
36,6,3882,61.1137851473338,0,0
36,8,3743,61.9199440854994,0,0.001
36,10,3833,63.7660887529626,0.001,0.001
36,12,4112,71.5157217237438,0.001,0.001
36,14,3615,80.1215443816452,0,0.001
36,16,3769,80.2866268942453,0.001,0.003
36,18,3652,72.474691420371,0.006,0.008
36,20,3795,66.9103129852064,0.015,0.014
36,22,3669,67.1304181084642,0.018,0.016
36,24,3155,65.9715443045032,0.011,0.013
36,26,3020,58.1880128076405,0.003,0.008
36,28,3014,45.6247202031002,0.001,0.005
36,30,2739,32.5769149733166,0,0.002
36,32,2600,22.2704039857467,0,0.002
36,34,2313,15.8067028500345,0,0.005
36,36,2363,12.2118463434032,0,0.01
36,38,1805,9.82629686825561,0,0.015
36,40,1671,8.08803109445376,0,0.021
36,42,1521,8.23029411627983,0.001,0.036
36,44,1521,12.118114572853,0.005,0.051
36,46,1245,19.2458594191465,0.013,0.052
36,48,1104,25.7329832420183,0.018,0.046
36,50,693,27.34226119101,0.012,0.035
36,52,552,22.9624082913557,0.004,0.024
36,54,552,14.9968660040494,0.001,0.015
36,56,685,7.40705848278297,0,0.008
36,58,684,2.69630132612633,0,0.004
36,60,684,0.741162849807075,0,0.002
36,62,822,0.273556123592601,0,0.021
36,64,556,0.412539922051853,0,0.061
36,66,416,0.935112574404614,0,0.084
36,68,416,1.76966526920849,0,0.096
36,70,416,2.58877421378025,0,0.1
36,72,416,2.80776822614857,0,0.097
36,74,416,2.19471451194981,0,0.091
36,76,416,1.21716915665188,0,0.085
36,78,278,0.473192031763828,0,0.078
36,80,278,0.12987761792041,0,0.071
38,0,3448,35.1555508586311,0,0
38,2,4032,58.7768336111508,0,0
38,4,4585,77.2568966336278,0,0
38,6,4474,84.4149699246347,0,0
38,8,4346,84.4103186483463,0.001,0.001
38,10,4911,86.410039830361,0.002,0.001
38,12,4810,92.9370527147269,0.002,0.001
38,14,4806,96.6399127747529,0.001,0.001
38,16,4611,90.275653074764,0.001,0.003
38,18,4213,78.384089337451,0.004,0.007
38,20,4351,72.6765700448561,0.01,0.011
38,22,3945,75.1380670402814,0.013,0.013
38,24,3714,76.1177934671421,0.008,0.011
38,26,3433,68.4781052153514,0.003,0.008
38,28,3432,54.4464098777416,0.001,0.005
38,30,3155,40.6825108267911,0,0.003
38,32,2738,31.9714368474235,0,0.004
38,34,2599,28.2663234994117,0.001,0.008
38,36,2224,26.2711399668297,0.001,0.014
38,38,2082,23.0246431092063,0.002,0.018
