x,y,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
14,8,139,0.006,0,0
14,10,139,0.013,0,0
14,12,139,0.018,0,0
14,14,139,0.018,0,0
14,16,139,0.012,0,0
14,18,139,0.006,0,0
16,6,139,0.017,0,0
16,8,139,0.049,0,0
16,10,139,0.1,0,0
16,12,139,0.14,0,0
16,14,139,0.138,0,0
16,16,139,0.094,0,0
16,18,139,0.045,0,0
16,20,139,0.015,0,0
16,48,133,0.009,0,0
16,50,133,0.015,0,0
16,52,133,0.017,0,0
16,54,133,0.013,0,0
16,56,133,0.007,0,0
18,4,139,0.022,0,0
18,6,139,0.091,0,0
18,8,139,0.264,0,0
18,10,139,0.534,0,0
18,12,139,0.752,0,0
18,14,139,0.738,0,0
18,16,139,0.505,0,0
18,18,139,0.241,0,0
18,20,139,0.08,0,0
18,22,139,0.019,0,0
18,26,144,0.011,0,0
18,28,144,0.017,0,0
18,30,144,0.019,0,0
18,32,144,0.014,0,0
18,34,144,0.007,0,0
18,44,133,0.009,0,0
18,46,133,0.031,0,0
18,48,133,0.072,0,0
18,50,133,0.116,0,0
18,52,133,0.132,0,0
18,54,133,0.105,0,0
18,56,133,0.058,0,0
18,58,133,0.022,0,0
18,60,133,0.006,0,0
20,2,139,0.014,0,0
20,4,139,0.082,0,0
20,6,139,0.34,0,0
20,8,139,0.985,0,0
20,10,139,1.99,0,0
20,12,139,2.804,0,0
20,14,139,2.754,0,0
20,16,139,1.886,0,0
20,18,139,0.9,0,0
20,20,139,0.3,0,0
20,22,283,0.082,0,0
20,24,283,0.05,0,0
20,26,144,0.087,0,0
20,28,144,0.133,0,0
20,30,144,0.143,0,0
20,32,144,0.107,0,0
20,34,144,0.056,0,0
20,36,144,0.02,0,0
20,42,133,0.01,0,0
20,44,133,0.05,0,0
20,46,133,0.167,0,0
20,48,133,0.39,0,0
20,50,133,0.635,0,0
20,52,133,0.72,0,0
20,54,133,0.569,0,0
20,56,133,0.314,0,0
20,58,133,0.121,0,0
20,60,133,0.032,0,0
20,62,133,0.006,0,0
22,2,139,0.036,0,0
22,4,139,0.213,0,0
22,6,139,0.884,0,0
22,8,139,2.562,0,0
22,10,139,5.177,0,0
22,12,139,7.293,0,0
22,14,139,7.163,0,0
22,16,139,4.904,0,0
22,18,139,2.341,0,0
22,20,283,0.794,0,0
22,22,283,0.247,0,0
22,24,283,0.239,0,0
22,26,144,0.463,0,0
22,28,144,0.714,0,0
22,30,144,0.767,0,0
22,32,144,0.575,0,0
22,34,144,0.3,0,0
22,36,144,0.109,0,0
22,38,144,0.028,0,0
22,42,133,0.039,0,0
22,44,133,0.19,0,0
22,46,273,0.643,0,0
22,48,273,1.501,0,0
22,50,273,2.442,0,0
22,52,273,2.771,0,0
22,54,273,2.192,0,0
22,56,273,1.209,0,0
22,58,273,0.465,0,0
22,60,133,0.123,0,0
