endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,3442,87.307,0,0
52,2,4508,119.65,0.001,0
52,4,5754,131.055,0.003,0.001
52,6,6585,122.026,0.008,0.003
52,8,7141,110.763,0.015,0.005
50,0,3163,87.135,0,0
50,2,4111,120.457,0.001,0
50,4,5347,134.292,0.004,0.001
50,6,6028,127.492,0.012,0.004
50,8,6728,114.546,0.024,0.007
50,10,7114,111.936,0.031,0.01
48,0,3582,79.399,0,0
48,2,4135,115.73,0.001,0
48,4,4944,135.604,0.004,0.001
48,6,6060,133.24,0.012,0.003
48,8,6617,119.92,0.023,0.007
48,10,6878,112.721,0.029,0.01
48,12,7144,117.959,0.023,0.01
46,0,3302,70.068,0,0
46,2,3857,107.677,0.001,0
46,4,4968,130.366,0.002,0.001
46,6,5503,129.023,0.007,0.003
46,8,6054,114.239,0.013,0.006
46,10,6446,104.739,0.015,0.008
46,12,6993,108.299,0.012,0.008
46,14,7245,117.477,0.012,0.008
44,0,3162,65.865,0,0
44,2,3437,100.688,0,0
44,4,4133,118.879,0.001,0.001
44,6,4691,113.029,0.002,0.002
44,8,5076,95.559,0.004,0.003
44,10,5502,85.157,0.004,0.005
44,12,6160,88.487,0.004,0.006
44,14,6306,97.5,0.007,0.006
42,0,2757,63.863,0,0
42,2,3034,93.442,0,0
42,4,3588,104.382,0,0
42,6,4113,93.514,0.001,0.001
42,8,4389,74.7,0.001,0.002
42,10,4795,63.918,0.001,0.003
42,12,4664,65.899,0.001,0.003
42,14,5214,73.406,0.003,0.004
42,16,5214,76.16,0.005,0.006
40,0,2496,55.858,0,0
40,2,3053,80.045,0,0
40,4,3191,87.508,0,0
40,6,3573,77.156,0,0.001
40,8,4130,60.495,0.001,0.001
40,10,4253,49.406,0,0.001
40,12,4369,48.473,0,0.002
40,14,4507,53.999,0.001,0.002
40,16,4373,58.514,0.001,0.004
38,0,2371,40.44,0,0
38,2,2907,59.719,0,0
38,4,3186,68.293,0,0.001
38,6,3151,63.796,0.001,0.001
38,8,4125,52.176,0.001,0.002
38,10,4507,41.392,0.001,0.002
38,12,4369,37.813,0,0.002
38,14,4238,42.979,0,0.001
38,16,3954,52.577,0,0.002
36,0,1811,24.458,0,0
36,2,1811,39.207,0,0.001
36,4,2595,49.599,0.001,0.001
36,6,2595,51.409,0.002,0.002
36,8,3412,45.2,0.003,0.003
36,10,3949,35.988,0.002,0.004
36,12,4095,31.94,0.001,0.003
36,14,3682,38.881,0,0.002
34,0,1592,14.262,0,0.001
34,2,1592,25.07,0,0.001
34,4,2199,34.89,0.001,0.003
34,6,2348,39.391,0.002,0.004
34,8,3007,36.842,0.004,0.005
34,10,3264,30.462,0.003,0.005
34,12,3174,28.504,0.001,0.004
34,14,2931,38.147,0.001,0.003
32,0,1185,11.659,0,0.001
32,2,1185,20.06,0,0.002
32,4,1325,27.043,0.001,0.003
32,6,1962,29.715,0.002,0.004
32,8,2393,27.668,0.002,0.006
32,10,2527,24.186,0.002,0.006
32,12,2648,25.906,0.001,0.006
30,0,1185,15.153,0,0
30,2,1325,23.628,0,0.001
30,4,1466,27.625,0,0.002
30,6,1833,25.608,0.001,0.003
30,8,2255,20.849,0.001,0.005
30,10,1845,18.468,0.001,0.006
30,12,2237,23.131,0.001,0.007
28,0,771,20.054,0,0
28,2,1190,30.07,0,0
28,4,1190,32.477,0,0.001
28,6,1285,26.204,0,0.002
28,8,1560,17.827,0,0.003
48,14,7308,127.437,0.016,0.008
48,16,7309,128.075,0.02,0.008
48,18,7606,115.203,0.024,0.009
48,20,7895,97.405,0.018,0.011
46,16,7177,119.756,0.021,0.009
46,18,7465,109.346,0.028,0.011
46,20,7452,92.223,0.022,0.013
46,22,7251,81.909,0.01,0.015
